film_title,director
Милые кости (фильм),Питер Джексон
Крикуны 2,Шелдон Уилсон
Метропия,Тарик Салех
Терминатор: Да придёт спаситель,Макджи
Трансформеры: Месть падших,Майкл Бэй
Звёздный крейсер «Галактика»: План,Эдвард Джеймс Олмос
Знамение (фильм),Алекс Пройас
Другой мир: Восстание ликанов,Патрик Татопулос
День рождения Алисы (мультфильм),Сергей Серёгин
Воображариум доктора Парнаса,Терри Гиллиам
Грузовик (фильм),Дин Фрэнсис
"Груз (фильм, 2009)",Иван ЭнглерРальф Эттер
Виртуальность (фильм),Питер Берг
Ведьмина гора,Энди Фикмен
Бросок кобры,Стивен Соммерс
Воины света (фильм),Братья Спириги
2081 (фильм),Чендлер Таттл
2012 (фильм),Роланд Эммерих
"Бессердечный (фильм, 2009)",Филип Ридли
Универсальный солдат 2: Возвращение,Мик РоджерсВ поисках приключений (1996)Френчи
"Мятежник (фильм, 1999)",Айзек Флорентайн
Лангольеры (мини-сериал),Том Холланд
"Конец света (фильм, 1999)",Питер Хайамс
Панки (фильм),Шон Макнамара
Командир эскадрильи (фильм),Крис Робертс
Мой любимый марсианин,Дональд Петри
Догма (фильм),Кевин Смит
Годзилла: Миллениум,Такао Окавара
Быть Джоном Малковичем,Спайк Джонз
"Вирус (фильм, 1999)",Джон Бруно
Двухсотлетний человек (фильм),"Крис КоламбусПриключения приходящей няни (1987)Отель разбитых сердец (1988)Один дома (1990)Поймёт лишь одинокий (1991)Один дома 2: Потерявшийся в Нью-Йорке (1992)Миссис Даутфайр (1993)Девять месяцев (1995)Мачеха (1998)Двухсотлетний человек (1999)Гарри Поттер и философский камень (2001)Гарри Поттер и Тайная комната (2002)Богема (2005)Рок в 3D (2005, документальный)Ночь с Бет Купер (2009)Перси Джексон и Похититель молний (2010)Эплебаум (2012, телефильм)Пиксели (2015)Рождественские хроники 2 (2020)Клуб убийств по четвергам (2025)Леди Баг и Супер-Кот (.mw-parser-output .ts-comment-commentedText{border-bottom:1px dotted;cursor:help}@media(hover:none){.mw-parser-output .ts-comment-commentedText:not(.rt-commentedText){border-bottom:0;cursor:auto}}TBA)Мелодия (TBA)Тайная жизнь дорожных бригад (TBA)Привет, призрак (TBA)Дом секретов (TBA, сериал)"
"Звёздный путь (фильм, 2009)",Дж. Дж. АбрамсМиссия невыполнима 3 (2006)Звёздный путь (2009)Супер 8 (2011)Стартрек: Возмездие (2013)Звёздные войны: Пробуждение силы (2015)Звёздные войны: Скайуокер. Восход (2019)
Битва драконов,Айзек Флорентайн
Байкер-убийца,Том Каллоуэй
Матрица (фильм),Братья Вачовски
"Аватар (фильм, 2009)","Джеймс КэмеронПолнометражныеПиранья 2: Нерест (1981)Чужие (1986)Бездна (1989)Правдивая ложь (1994)Титаник (1997)ТерминаторТерминатор (1984)Терминатор 2: Судный день (1991)Аватар, Аватар (2009)Аватар: Путь воды (2022)Аватар: Огонь и пепел (2025)Аватар 4 (2029)Аватар 5 (2031)КороткометражныеКсеногенезис (1978)Т2 3-D: Битва сквозь время (1996)ДокументальныеЭкспедиция «Бисмарк» (2002)Призраки бездны: «Титаник» (2003)Чужие из бездны (2005)"
"Человек-паук (фильм, 2002)",Сэм Рэйми
"Роллербол (фильм, 2002)",Джон Мактирнан
Пришелец из будущего,Такаси Ямадзаки
Таинственная реликвия,Себастьян Ниманн
Приключения Плуто Нэша,Рон Андервуд
Останавливающие время,Джонатан Фрейкс
Пасека (фильм),Андрей КагадеевНиколай Копейкин
"Особое мнение (фильм, 2002)",Стивен Спилберг
Перехватчики 2,Филлип Рот
Куб 2: Гиперкуб,"Анджей СекулаКуб Ноль (2004)Отзвуки эха 2: Возвращение (2007)Ожидание (2007)Астероид: Последние часы планеты (2009)Прошивка (2009)Убить по расписанию (2011)Дом вверх дном (2011)Игры киллеров (2011)Шесть пуль (2012)Второй шанс (2013)Чтение, письмо и романтика (2013)Восхождение Сокола (2014)Фунт плоти (2015)СвятойРождественское наследство (2017)"
"Карлсон, который живёт на крыше (2002)",Вибеке Идсё
"Машина времени (фильм, 2002)",Саймон Уэллс
Знаки (фильм),М. Найт ШьямаланФильмыМолясь во гневе (1992)Пробуждение (1998)Шестое чувство (1999)Неуязвимый (2000)Знаки (2002)Таинственный лес (2004)Девушка из воды (2006)Явление (2008)Повелитель стихий (2010)После нашей эры (2013)Визит (2015)Сплит (2016)Стекло (2019)Время (2021)Стук в дверь (2023)Ловушка (2024)СериалыСосны (2015)Дом с прислугой (2019)
"Зелёный свет (фильм, 2002)",".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}Faruk Aksoy"
Годзилла против Мехагодзиллы 3,Масааки Тэдзука
Люди в чёрном 2,Барри Зонненфельд
Звёздные войны. Эпизод II: Атака клонов,Джордж ЛукасВзгляд на жизнь (1965)Хёрби (1966)Фрейхейт (1966)1:42.08 (1966)Каждый жил в городе Претти Хау (1967)Император (1967)6-18-67 (1967)Кинематографист: Дневники Джорджа Лукаса (1968)Американские граффити (1973)THX 1138Электронный лабиринт: THX 1138 4EB (1967)THX 1138 (1971)Звёздные войныЭпизод IV. Новая надежда (1977)Эпизод I. Скрытая угроза (1999)Эпизод II. Атака клонов (2002)Эпизод III. Месть ситхов (2005)
Вторжение на Землю,Шон Каннингем
"Шесть (фильм, 2004)",Кевин Даунс
2009: Утраченные воспоминания,Ли Щи-мён
28 дней спустя,Дэнни Бойл
Эффект бабочки (фильм),Эрик Бресс Дж. Мэки Грубер
Ретроград (фильм),Кристофер Куликовски
Хроники Риддика,Дэвид Туи
Штамм «Андромеда» (мини-сериал),Микаэль Саломон
"Явление (фильм, 2008)",М. Найт ШьямаланФильмыМолясь во гневе (1992)Пробуждение (1998)Шестое чувство (1999)Неуязвимый (2000)Знаки (2002)Таинственный лес (2004)Девушка из воды (2006)Явление (2008)Повелитель стихий (2010)После нашей эры (2013)Визит (2015)Сплит (2016)Стекло (2019)Время (2021)Стук в дверь (2023)Ловушка (2024)СериалыСосны (2015)Дом с прислугой (2019)
Властелин колец: Две крепости,Питер Джексон
Суперсемейка,Брэд БёрдПолнометражныефильмыИстория игрушек (1995)Приключения Флика (1998)История игрушек 2 (1999)Тачки (2006)Тачки 2 (2011)КороткометражныефильмыЛюксо-младший (1986)Звезда цирка (1987)Оловянная игрушка (1988)Безделушка (1989)Мэтр и Призрачный Свет (2006)Байки Мэтра (2008)
Разборки в стиле кунг-фу,Стивен Чоу
Хэнкок (фильм),Питер Берг
Хеллбой 2: Золотая армия,Гильермо Дель ТороDoña Lupe (короткометражный; 1985)Геометрия (короткометражный; 1987)Хронос (1993)Мутанты (1997)Хребет дьявола (2001)Блэйд 2 (2002)Хеллбой (2004)Лабиринт фавна (2006)Хеллбой 2: Золотая армия (2008)Тихоокеанский рубеж (2013)Багровый пик (2015)Форма воды (2017)Аллея кошмаров (2021)Пиноккио (2022)Франкенштейн (2025)
Человек-паук 2,Сэм Рэйми
Рипо! Генетическая опера,Даррен Линн Баусман
"Путешествие к центру Земли (фильм, 2008)",Эрик Бревиг
Поймать ведьму,Андрей ШальопаКим Дружинин
Пульс 3: Вторжение,Джоэль Сойссон
"Пришелец (фильм, 2001)",Гэри Фледер
"Планета обезьян (фильм, 2001)",Тим Бёртон
Раптор (фильм),Джим Уайнорски
Эпоха (фильм),Мэтт Код
Призраки Марса,"Джон КарпентерТёмная звезда (1974)Нападение на 13-й участок (1976)Хэллоуин (1978)Кто-то следит за мной (1978)Элвис (1979)Туман (1980)Побег из Нью-Йорка (1981)Нечто (1982)Кристина (1983)Человек со звезды (1984)Большой переполох в маленьком Китае (1986)Князь тьмы (1987)Чужие среди нас (1988)Исповедь невидимки (1992)Мешки для трупов (1993)В пасти безумия (1994)Деревня проклятых (1995)Побег из Лос-Анджелеса (1996)Вампиры (1998)Призраки Марса (2001)Мастера ужасов (эпизоды «Сигаретный ожог» и «Дитя демона», 2005–2007)Палата (2010)"
Парк юрского периода III,Джо Джонстон
Планета Ка-Пэкс,Иэн Софтли
Кейт и Лео,Джеймс Мэнголд
Интакто,Хуан Карлос Фреснадильо
Дрожь земли 3,Брент Мэддок
"Затерянный мир (фильм, 2001)",Стюарт Орм
Послезавтра,Роланд Эммерих
Властелин колец: Братство Кольца,Питер Джексон
"Годзилла, Мотра, Кинг Гидора: Монстры атакуют",Сюсукэ Канэко
Искусственный разум (фильм),Стивен Спилберг
После апокалипсиса,Кристоф Шреве
"Окончательный монтаж (фильм, 2004)",Омар Наим
Обитель зла 2: Апокалипсис,Александр Уитт
Пиноккио 3000,Даниэль Робишо
Небесный капитан и мир будущего,Керри Конран
Новый Франкенштейн,Маркус Ниспель
Куб Ноль,"Эрни БарбарашКуб Ноль (2004)Отзвуки эха 2: Возвращение (2007)Ожидание (2007)Астероид: Последние часы планеты (2009)Прошивка (2009)Убить по расписанию (2011)Дом вверх дном (2011)Игры киллеров (2011)Шесть пуль (2012)Второй шанс (2013)Чтение, письмо и романтика (2013)Восхождение Сокола (2014)Фунт плоти (2015)СвятойРождественское наследство (2017)"
Космический дозор. Эпизод 1,Михаэль Хербиг
Звёздный десант 2: Герой Федерации,Фил Типпетт
"Ночной Дозор (фильм, 2004)",Тимур БекмамбетовПешаварский вальсГладиатриксГАЗ — Русские машиныНочной ДозорДневной ДозорИрония судьбы. ПродолжениеОсобо опасенЁлкиПрезидент Линкольн: Охотник на вампировЁлки 1914Бен-ГурЁлки 5ПрофильЁлки последниеДевятаевМилосердие
"Детонатор (фильм, 2004)",Шейн Кэррут
Годзилла: Финальные войны,Рюхэй Китамура
Зомби по имени Шон,Эдгар Райт
Глаз 2,Оксид Пан (Пханг Сёнь)Дэнни Пан (Пханг Фат)
Если только,Джил Джангер
Волшебная страна (фильм),Марк Форстер
Вернувшиеся,Робен Кампийо
Вечное сияние чистого разума,Мишель Гондри
Волшебник Земноморья (мини-сериал),Роберт Либерман
Звёздные войны. Эпизод I: Скрытая угроза,Джордж Лукас
Бессмертные: Война миров,Энки Билал
Анаконда 2: Охота за проклятой орхидеей,Дуайт Литтл
2046 (фильм),Вонг Карвай
"Охотники за сокровищами (фильм, 2008)",Жан де Сегонзак
Блэйд: Троица,"Дэвид ГойерЗигЗаг (2002)Блэйд: Троица (2004)Невидимый (2007)Нерождённый (2009)Вспомни, что будет (сериал, 2009)Демоны Да Винчи (сериал, 2013—2015)"
Обитель зла: Вырождение,Макото Камия
"Организм (фильм, 2008)",Ричард Джеффрис
"Обитаемый остров (фильм, 2008)",Фёдор Бондарчук
Огонь и лёд: Хроники драконов,Питоф
"Новая Земля (фильм, 2008)",Александр Мельник
Невеста с того света,Джефф Лоуэлл
Монстро,Мэтт РивзМиссия невыполнима 3 (2006)Звёздный путь (2009)Супер 8 (2011)Стартрек: Возмездие (2013)Звёздные войны: Пробуждение силы (2015)Звёздные войны: Скайуокер. Восход (2019)
Мы из будущего,Андрей Малюков
Загадочная история Бенджамина Баттона (фильм),Дэвид Финчер
Звёздный десант 3: Мародёр,Эдвард Ноймайер
Моя девушка — киборг,Квак Чэ Ён
Одиссей и остров туманов,Терри Ингрэм
"День, когда Земля остановилась (фильм, 2008)","Скотт ДерриксонLove in the Ruins (1995)Восставший из ада 5: Инферно (2000)Шесть демонов Эмили Роуз (2005)День, когда Земля остановилась (2008)Синистер (2012)Избави нас от лукавого (2014)Доктор Стрэндж (2016)награды и номинацииЧёрный телефон (2021)Ущелье (2025)Чёрный телефон 2 (2025)Мастер тай-цзи (2013)"
Город Эмбер: Побег,Гил Кинан
Битва в пустыне,Дэниэл Мирик
"Город призраков (фильм, 2008)",Дэвид Кепп
"Викинги (фильм, 2008)",Ховард Маккейн
"Железный человек (фильм, 2008)",Джон ФавроВсё схвачено! (2001)Эльф (2003)Затура: Космическое приключение (2005)Железный человек (2008)Железный человек 2 (2010)Ковбои против пришельцев (2011)Повар на колёсах (2014)Книга джунглей (2016)Король Лев (2019)Мандалорец и Грогу (2026)Книга джунглей 2 (TBA)
Анаконда 3: Цена эксперимента,Дон Э. Фонтлерой
Библиотекарь 3: Проклятие иудовой чаши,Джонатан Фрейкс
Охотник за пришельцами,Рон Краусс
"Особняк с привидениями (фильм, 2003)",Роб МинкоффФантазия 2000 (1999)Как разбудить Спящую красавицу (2009)Hand Held (2010)Ховард (2018)
"Пустота (фильм, 2003)",Винченцо Натали
Пункт назначения 2,Дэвид Р. Эллис
Терминатор 3: Восстание машин,Джонатан Мостоу
Вавилон нашей эры,Матьё Кассовиц
"День мертвецов (фильм, 2008)",Стив Майнер
Матрица: Революция,Братья Вачовски
Матрица: Перезагрузка,братья Вачовски
Код 46,Майкл Уинтерботтом
"История двух сестёр (фильм, 2003)",Ким Чжи Ун
В ловушке времени,Ричард Доннер
"Варвар (фильм, 2003)",Крис Сивертсон
"Боги речного мира (фильм, 2003)",Кари Скогланд
"Годзилла, Мотра, Мехагодзилла: Спасите Токио",Масааки Тэдзука
Чарли и шоколадная фабрика (фильм),Тим Бёртон
Труп невесты,"Майк Джонсон, Тим Бёртон"
Чужая планета,
"Фантастическая четвёрка (фильм, 2005)",Тим Стори
Абсолон,Дэвид Барто
Птеродактиль (фильм),Марк Л. Лестер
"Остров (фильм, 2005)",Майкл Бэй
Осада пришельцев,Робер Стадд
Мальчик-оборотень и волшебный автобус,Питер Койперс
"Неудачник (фильм, 2005)",Джошуа Майкл Стерн
Звёздные войны. Эпизод III: Месть ситхов,Джордж ЛукасВзгляд на жизнь (1965)Хёрби (1966)Фрейхейт (1966)1:42.08 (1966)Каждый жил в городе Претти Хау (1967)Император (1967)6-18-67 (1967)Кинематографист: Дневники Джорджа Лукаса (1968)Американские граффити (1973)THX 1138Электронный лабиринт: THX 1138 4EB (1967)THX 1138 (1971)Звёздные войныЭпизод IV. Новая надежда (1977)Эпизод I. Скрытая угроза (1999)Эпизод II. Атака клонов (2002)Эпизод III. Месть ситхов (2005)
И грянул гром (фильм),Питер Хайамс
Звёздная развалина: В начале Пирка,Тимо Вуоренсола
Дорогой мистер Кэш,Венди Купер-Поршелли
"Леший (фильм, 2005)",Бретт Леонард
"Солярис (фильм, 2002)","Стивен СодербергСекс, ложь и видео (1989)Кафка (1991)Царь горы (1993)Там, внутри (1995)Анатомия Грея (1996)Шизополис (1996)Вне поля зрения (1998)Англичанин (1999)Эрин Брокович (2000)Траффик (2000)11 друзей Оушена (2001)Во всей красе (2002)Солярис (2002)Эрос (2004)12 друзей Оушена (2004)Пузырь (2005)Хороший немец (2006)13 друзей Оушена (2007)Че (2008)Девушка по вызову (2009)Информатор (2009)Всё в порядке (2010)Заражение (2011)Нокаут (2012)Супер Майк (2012)Побочный эффект (2013)За канделябрами (2013)Удача Логана (2017)Не в себе (2018)Птица высокого полёта (2019)Прачечная (2019)Пусть говорят (2020)Без резких движений (2021)Кими (2022)Супер Майк: Последний танец (2023)Присутствие (2024)Чёрный мешок (2025)ПолнометражныеПиранья 2: Нерест (1981)Чужие (1986)Бездна (1989)Правдивая ложь (1994)Титаник (1997)ТерминаторТерминатор (1984)Терминатор 2: Судный день (1991)Аватар, Аватар (2009)Аватар: Путь воды (2022)Аватар: Огонь и пепел (2025)Аватар 4 (2029)Аватар 5 (2031)КороткометражныеКсеногенезис (1978)Т2 3-D: Битва сквозь время (1996)ДокументальныеЭкспедиция «Бисмарк» (2002)Призраки бездны: «Титаник» (2003)Чужие из бездны (2005)"
Глазами волка,Николай Вороновский
Война миров (фильм Тимоти Хайнса),Тимоти Хайнс
Война миров (фильм Стивена Спилберга),Стивен Спилберг
Далёкая синяя высь,Вернер Херцог
"Высший пилотаж (фильм, 2005)",Майк Митчел
Я — легенда (фильм),Фрэнсис Лоуренс
Автостопом по галактике (фильм),Гарт Дженнингс
Человек-паук 3: Враг в отражении,Сэм Рэйми
Суперпёс (фильм),Фредерик Дю Чау
Человек с Земли,Ричард Шенкман
Я видел дьявола,Ким Чжи Ун
Чужие против ниндзя,Сэйдзи Тиба
Властелин колец: Возвращение короля,Питер Джексон
"Я здесь (фильм, 2010)",Спайк Джонз
Фантастическая четвёрка: Вторжение Серебряного сёрфера,Тим Стори
Приключения Джонни Тао: Рок и дракон,Кен Скотт
Трансформеры (фильм),Майкл Бэй
Пираты Карибского моря: На краю света,Гор Вербински
"Пекло (фильм, 2007)",Дэнни Бойл
Молодость без молодости,"Фрэнсис Форд КопполаРазвлекающиеся девушки и коридорный (1962)Сегодня вечером — наверняка (1962)Битва за пределами Солнца (1962)Безумие-13 (1963)Ты теперь большой мальчик (1966)Радуга Финиана (1968)Люди дождя (1969)Крёстный отец (1972)Разговор (1974)Крёстный отец 2 (1974)Апокалипсис сегодня (1979)От всего сердца (1982)Бойцовая рыбка (1983)Изгои (1983)Клуб «Коттон» (1984)Капитан Ио (1986)Пегги Сью вышла замуж (1986)Сады камней (1987)Такер: Человек и его мечта (1988)Нью-йоркские истории (новелла «Жизнь без Зои», 1989)Крёстный отец 3 (1990)Дракула (1992)Крёстный отец. Трилогия. 1901—1980 (1992)Джек (1996)Благодетель (1997)Молодость без молодости (2007)Тетро (2009)Между (2011)Distant Vision (2015)Мегалополис (2024)"
"Невидимый (фильм, 2007)","Дэвид ГойерЗигЗаг (2002)Блэйд: Троица (2004)Невидимый (2007)Нерождённый (2009)Вспомни, что будет (сериал, 2009)Демоны Да Винчи (сериал, 2013—2015)"
Наутилус: Повелитель океана,Гэбриел Болонья
Ночные небеса,Рой Книрим
"Мост в Терабитию (фильм, 2007)",Габор Чупо
Мой домашний динозавр,Джей Расселл
Мгла (фильм),Фрэнк ДарабонтЖенщина в комнате (1983)Заживо погребённый (1990)Побег из Шоушенка (1994)Зелёная миля (1999)Мажестик (2001)Мгла (2007)
Крисалис,Жульен Леклерк
Обитель зла 3,Рассел Малкэхи
Золотой компас,Крис Вайц
Генное поколение,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}Пирри Тео"
Заколдованное королевство,Ник Уиллинг
"Вторжение (фильм, 2007)",Оливер ХиршбигельДжеймс Мактиг
Звёздный крейсер «Галактика»: Лезвие,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}Феликс Энрикез Алькала"
Война динозавров,Сим Хённэ
Бладрейн 2: Освобождение,Уве Болл
Daft Punk’s Electroma,Daft Punk
В гости к Робинсонам,Стивен Дж. Андерсон
Внеземной,Сергей Крутин
Цветы для Алджернона (фильм),Давид Дельрие
Бен-10: Наперегонки со временем,Алекс Уинтер
Слизняк (фильм),Джеймс Ганн
Помутнение (фильм),Ричард Линклейтер
Ультрафиолет (фильм),Курт Уиммер
Я остаюсь,Карен Оганесян
Паутина Шарлотты (фильм),Гари Виник
Крестоносец в джинсах (фильм),Бен Сомбогарт
Меченосец (фильм),Филипп Янковский
Лабиринт фавна,Гильермо дель ТороDoña Lupe (короткометражный; 1985)Геометрия (короткометражный; 1987)Хронос (1993)Мутанты (1997)Хребет дьявола (2001)Блэйд 2 (2002)Хеллбой (2004)Лабиринт фавна (2006)Хеллбой 2: Золотая армия (2008)Тихоокеанский рубеж (2013)Багровый пик (2015)Форма воды (2017)Аллея кошмаров (2021)Пиноккио (2022)Франкенштейн (2025)
Неуместный человек,Йенс Лиен
"Дом у озера (фильм, 2006)",Алехандро Агрести
Люди Икс: Последняя битва,Бретт Ратнер
Гадкие лебеди (фильм),Константин Лопушанский
Вторжение динозавра,Пон Чжун ХоЛающие собаки никогда не кусают (2000)Воспоминания об убийстве (2003)Вторжение динозавра (2006)Токио! (2008)Мать (2009)Сквозь снег (2013)Окча (2017)Паразиты (2019)Микки 17 (2025)
"Враги (фильм, 2006)",Пол Зиллер
Вскрытие пришельца,Джонни Кэмпбелл
30 дней до рассвета,Андерс Банке
977 (фильм),Николай Хомерики
Трон: Наследие,Джозеф Косински
"Туман (фильм, 2010)",Иван Шурховецкий Артём Аксёненко
Азирис Нуна,Олег Компасов
Скайлайн (фильм),Братья Штраус
Потеря (мультфильм),Шон ТанЭндрю Руэманн
Потерянное будущее,Микаэл Саломон
"Последний охотник (фильм, 2010)",Сэнди Коллора
Свободное радио Альбемута (фильм),Джон Алан Саймон
Робот (фильм),Шанмугам Шанкар
Обитель зла 4: Жизнь после смерти,Пол У. С. Андерсон
Необычайные приключения Адель,Люк Бессон
По ту сторону чёрной радуги,Панос Косматос
Не отпускай меня (фильм),Марк Романек
Мы из будущего 2,Александр Самохвалов Борис Ростов
"Начало (фильм, 2010)",Кристофер НоланПолнометражныеПреследование (1998)Помни (2000)Бессонница (2002)Бэтмен: Начало (2005)саундтрекПрестиж (2006)Тёмный рыцарь (2008)саундтрекнаграды и номинацииНачало (2010)саундтрекнаграды и номинацииТёмный рыцарь: Возрождение легенды (2012)саундтрекнаграды и номинацииИнтерстеллар (2014)саундтрекнаграды и номинацииДюнкерк (2017)саундтрекнаграды и номинацииДовод (2020)саундтрекнаграды и номинацииОппенгеймер (2023)саундтрекнаграды и номинацииОдиссея (2026)КороткометражныеТарантелла (1989)Воровство (1996)Жук-скакун (1997)Куэй (2015)
"Монстры (фильм, 2010)",Гарет Эдвардс
"Дитя человеческое (фильм, 2006)",Альфонсо Куарон
