film_title,genre
Тайная жизнь домашних животных,комедия боевик приключения mwparseroutput hlist dlmwparseroutput hlisthlist olmwparseroutput hlisthlist ulmarginpaddingmwparseroutput hlist ddmwparseroutput hlist dtmwparseroutput hlist limargindisplayinlinemwparseroutput hlistinlinemwparseroutput hlistinline dlmwparseroutput hlistinline olmwparseroutput hlistinline ulmwparseroutput hlist dl dlmwparseroutput hlist dl olmwparseroutput hlist dl ulmwparseroutput hlist ol dlmwparseroutput hlist ol olmwparseroutput hlist ol ulmwparseroutput hlist ul dlmwparseroutput hlist ul olmwparseroutput hlist ul uldisplayinlinemwparseroutput hlist mwemptylimwparseroutput hlist mwemptyeltdisplaynonemwparseroutput hlist dtaftercontent mwparseroutput hlist ddaftermwparseroutput hlist liaftercontenta  fontweightboldmwparseroutput hlist ddlastchildaftermwparseroutput hlist dtlastchildaftermwparseroutput hlist lilastchildaftercontentnonemwparseroutput hlist dd ddfirstchildbeforemwparseroutput hlist dd dtfirstchildbeforemwparseroutput hlist dd lifirstchildbeforemwparseroutput hlist dt ddfirstchildbeforemwparseroutput hlist dt dtfirstchildbeforemwparseroutput hlist dt lifirstchildbeforemwparseroutput hlist li ddfirstchildbeforemwparseroutput hlist li dtfirstchildbeforemwparseroutput hlist li lifirstchildbeforecontent fontweightnormalmwparseroutput hlist dd ddlastchildaftermwparseroutput hlist dd dtlastchildaftermwparseroutput hlist dd lilastchildaftermwparseroutput hlist dt ddlastchildaftermwparseroutput hlist dt dtlastchildaftermwparseroutput hlist dt lilastchildaftermwparseroutput hlist li ddlastchildaftermwparseroutput hlist li dtlastchildaftermwparseroutput hlist li lilastchildaftercontentfontweightnormalmwparseroutput hlist olcounterresetlistitemmwparseroutput hlist ollicounterincrementlistitemmwparseroutput hlist ollibeforecontent counterlistitema mwparseroutput hlist dd ollifirstchildbeforemwparseroutput hlist dt ollifirstchildbeforemwparseroutput hlist li ollifirstchildbeforecontent counterlistitema mwparseroutput hlistitemsnowrap ddmwparseroutput hlistitemsnowrap dtmwparseroutput hlistitemsnowrap liwhitespacenowrapmwparseroutput hlistitemsnowrap dl dlmwparseroutput hlistitemsnowrap dl olmwparseroutput hlistitemsnowrap dl ulmwparseroutput hlistitemsnowrap ol dlmwparseroutput hlistitemsnowrap ol olmwparseroutput hlistitemsnowrap ol ulmwparseroutput hlistitemsnowrap ul dlmwparseroutput hlistitemsnowrap ul olmwparseroutput hlistitemsnowrap ul ulwhitespacenormal музыка к фильму джаз классика
Рок Дог,приключение комедия музыка
Норм и Несокрушимые,комедия приключения семейный
Путь к сердцу (мультфильм),семейный короткометражка фантастика комедия
Песочник (мультфильм),Короткометражный мультфильм
Полный расколбас,приключения комедия
Лига Справедливости против Юных Титанов,боевик фантастика
Кунг-фу панда 3,комедийный фильм о боевых искусствах Music from the Motion Picture
Ледниковый период 5: Столкновение неизбежно,приключения комедия
Кубо. Легенда о самурае,приключения фэнтези семейный
Земля до начала времён : Путешествие Храброго,приключения
Зверопой,мюзикл комедия Поп Рок RB
Зверополис,комедия приключения фильм о друзьяхполицейских Музыка к фильму
Моана (мультфильм),мюзикл фэнтези приключения Музыка к фильму
Бэтмен: Дурная кровь,фантастика супергеройский фильм тёмное фэнтези экшен триллер психологическая драма
В поисках Дори,комедийная драма приключения Саундтрек
Девочки из Эквестрии. Легенды вечнозелёного леса,Приключения  фэнтези мюзикл
Аисты (мультфильм),комедия семейный фильм
Бэтмен: Убийственная шутка (мультфильм),супергеройский фильм боевик триллер психологическая драма Музыка к фильму
Безграничный Бэтмен: Роботы против мутантов,боевик фантастика
Песня имён (фильм),драма
Бэтмен: Возвращение рыцарей в масках,боевик фантастика комедия
Мы призываем тьму,триллер ужасы
Опасная роль Джин Сиберг,политический триллер
"Пиноккио (фильм, 2019)",фэнтези приключения
"Однажды в Голливуде (фильм, 2019)",комедиядрама альтернативная история
Моя Зои,драматический фильм
"Офелия (фильм, 2018)",романтическая драма
Майкл Джексон: В погоне за правдой,документальный фильм
Опасный элемент,Фильмбиография
"Кармилла (фильм, 2019)",Ужасы
Король Англии (фильм),биография драма военный история
"Исчезновение (фильм, 2019)",триллер
История Дэвида Копперфилда,комедийная драма
"Извините, мы вас не застали",драма
"Другой (фильм, 2019)",фильм ужасов и фильмтриллер
"Курьер (фильм, 2019)",боевик триллер
Джуди (фильм),драма биография мюзикл
