Название,Жанр,Продюссер,Страна,Год
Из ада в ад,драма,Дмитрий Астрахан,Россия  Беларусь  Германия,1996
Миньон (фильм),Боевик,Жан-Марк Пише,США Канада,1998
"Мачеха (фильм, 1998)",драма,"Крис Коламбус  Приключения приходящей няни  (1987)  Отель разбитых сердец  (1988)  Один дома  (1990)  Поймёт лишь одинокий  (1991)  Один дома 2: Потерявшийся в Нью-Йорке  (1992)  Миссис Даутфайр  (1993)  Девять месяцев  (1995)  Мачеха  (1998)  Двухсотлетний человек  (1999)  Гарри Поттер и философский камень  (2001)  Гарри Поттер и Тайная комната  (2002)  Богема  (2005)  Рок в 3D  (2005, документальный)  Ночь с Бет Купер  (2009)  Перси Джексон и Похититель молний  (2010)  Эплебаум  (2012, телефильм)  Пиксели  (2015)  Рождественские хроники 2  (2020)  Клуб убийств по четвергам  (2025)  Леди Баг и Супер-Кот  ( .mw-parser-output .ts-comment-commentedText{border-bottom:1px dotted;cursor:help}@media(hover:none){.mw-parser-output .ts-comment-commentedText:not(.rt-commentedText){border-bottom:0;cursor:auto}} TBA )  Мелодия  ( TBA )  Тайная жизнь дорожных бригад  ( TBA )  Привет, призрак  ( TBA )  Дом секретов  ( TBA , сериал)",США,1998
"Межсезонье (фильм, 1998)",Мелодрама,Жанет Бак,США,1998
Меня зовут Джо,"драматический фильм ,  комедийный фильм  и  романтический фильм",Кен Лоуч,Великобритания,1998
Меркурий в опасности,боевик   криминальный фильм драма триллер,Харолд Беккер,США,1998
Мафия!,комедия,Джим Абрахамс,США,1998
Маска призрака,фильм ужасов,Жан Пеллерин,Канада,1998
Маленький Тони,комедия  /  драма,Алекс ван Вармердам,Нидерланды,1998
Маска Зорро,"вестерн ,  супергеройский фильм ,  фильм плаща и шпаги",Мартин Кэмпбелл,США,1998
Маленький лекарь,драма фантастика,Зульфикар Мусаков,Узбекистан,1998
"Любовь с первого взгляда (фильм, 1998)","драма ,  мелодрама ,  боевик ,  триллер ,  приключенческий фильм",Мани Ратнам,Индия,1998
Любовь и попса,молодёжная драма,Хидэаки Анно,Япония,1998
Любовь — это дьявол. Штрихи к портрету Ф. Бэкона,драма,Джон Мэйбери,Великобритания,1998
Любовный треугольник (фильм),"драма , комедия",Джеймс Тобэк,США,1998
"Любовное письмо (фильм, 1998)",кинофантастика  и  экранизация литературного произведения,Дэн Кертис,США,1998
Любовники полярного круга,драма  /  мелодрама,Хулио Медем,Испания,1998
"Любимая (фильм, 1998)",Драма   Детектив Ужасы,Джонатан Демми,США,1998
Лучший из лучших 4: Без предупреждения,"боевик ,  триллер",Филлип Ри  Лучшие из лучших 3  (1995)  Лучший из лучших 4: Без предупреждения  (1998)  Неудачники   (2015),США,1998
Лос-Анджелес без карты,комедия мелодрама,Мика Каурисмяки,Финляндия  Великобритания,1998
Луиза (дубль 2),драма,Зигфрид,,1998
"Ливень (фильм, 1998)",боевик фильм-катастрофа,Микаэль Саломон,США  Дания  Великобритания  Германия  Япония,1998
"Ловушка для родителей (фильм, 1998)",Семейный фильм,Нэнси Мейерс,США,1998
"Лебединое озеро (фильм, 1998)","сказка, семейное кино",Вацлав Ворличек,Чехия     Германия,1998
"Леший (фильм, 1998)","фильм-триллер ,  .mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} процессуальная драма   и  драматический фильм",Роберт Олтмен,США,1998  и  21 мая   1998
Легенда о пианисте,драма музыкальный фильм,Джузеппе Торнаторе,США    Италия  Великобритания  Франция,1998
Легионер (фильм),боевик   драма приключения,Питер Макдональд  В поисках приключений  (1996)  Френчи   Самоволка  (1990)  Двойной удар  (1992)  Только сильнейшие  (1993)  Главная мишень   (1997)  Последний рубеж   (2000)  Тайна ордена  (2001)  Прочная защита  (2006),США,1998
Кузина Бетта (фильм),драма,Дес МакАнуфф,Великобритания  США,1998
Куда приводят мечты,"романтический фильм   ,  фэнтезийный фильм   ,  драматический фильм  и  экранизация литературного произведения",Винсент Уорд,США  Новая Зеландия,1998
Курт и Кортни,документальный фильм,Ник Брумфилд,Великобритания,1998
"Кто, если не мы (фильм, 1998)",мелодрама,Валерий Приёмыхов,Россия,1998
"Кто я? (фильм, 1998)",боевик комедия,Бенни Чан Джеки Чан  Бесстрашная гиена  (1979)  Молодой мастер  (1980)  Лорд дракон  (1982)  Проект А  (1983)  Полицейская история  (1985)  Доспехи Бога  (1986)  Проект А: Часть 2  (1987)  Полицейская история 2  (1988)  Чудеса  (1989)  Доспехи Бога 2: Операция Кондор  (1991)  Криминальная история  (1993)  Пьяный мастер 2  (1994)  Кто я?  (1998)  Падение последней империи  (2011)  Доспехи Бога 3: Миссия Зодиак  (2012),Гонконг  Япония  США,1998
Крысятник,комедия  /  драма  /  триллер,Франсуа Озон,Франция,1998
Лумумба (фильм),историческая   драма фильм-биография,Рауль Пек,Франция  Бельгия  Германия  Гаити,2000
Леди Казахстан,драма,Дмитрий Астрахан,Россия  Германия,2000
Лепрекон 5: Сосед,фильм ужасов комедия,Роб Спера,США,2000
Лицо французской национальности,криминальная комедия,Илья Хотиненко,Россия  США,2000
Легенда Багера Ванса,драма,Роберт Редфорд,США,2000
Лающие собаки никогда не кусают,драматический фильм   и  комедийный фильм,Пон Джун Хо  Лающие собаки никогда не кусают  (2000)  Воспоминания об убийстве  (2003)  Вторжение динозавра  (2006)  Токио!  (2008)  Мать  (2009)  Сквозь снег  (2013)  Окча  (2017)  Паразиты  (2019)  Микки 17  (2025),Республика Корея,2000  и  19 февраля   2000
Ландыш серебристый,трагикомедия,Тигран Кеосаян,Россия,2000
Крутая добыча,криминальный   боевик,Курт Восс   Дэвид Мамет,США,2000
Лондонские псы,криминальная   комедия,Доминик Анчиано  Рэй Бердис,Великобритания,2000
"Крокодил (фильм, 2000)",природный фильм ужасов,Тоуб Хупер,США,2000
Кровавый сёрфинг,"ужасы ,  триллер ,  приключенческий фильм",Джеймс Хикокс,США,2000
"Ктулху (фильм, 2000)",ужасы,Дамиан Хеффернан,Австралия,2000
Крик 3,слэшер,"Уэс Крэйвен  Последний дом слева  (1972)    У холмов есть глаза  (1977)  Незнакомец в нашем доме  (1978)  Смертельное благословение  (1981)  Болотная тварь  (1982)  Кошмар на улице Вязов  (1984)  Приглашение в ад  (1984)  Леденящий  (1985)  У холмов есть глаза 2  (1985)  Смертельный друг  (1986)  Змей и радуга  (1988)  Электрошок  (1989)  Ночные видения  (1990)  Люди под лестницей  (1991)  Кошмар на улице Вязов 7: Новый кошмар  (1994)  Вампир в Бруклине  (1995)    Крик  (1996)    Крик 2  (1997)  Музыка сердца  (1999)    Крик 3  (2000)  Оборотни  (2005)  Ночной рейс  (2005)  Париж, я люблю тебя  (2006)  Забери мою душу  (2010)    Крик 4  (2011)   Убить миссис Тингл  (1999)  Крик 7  (2026)",США,2000
Крылья надежды,документальный,Вернер Херцог,Германия  Великобритания,2000
"Крадущийся тигр, затаившийся дракон","уся ,  мелодрама",Энг Ли,КНР   Китай  Гонконг  США,2000
Космические ковбои,приключения фантастика,Клинт Иствуд,США,2000
Король танцует,драма исторический фильм музыкальный фильм,Жерар Корбьо,Франция  Германия  Бельгия,2000
Королевская битва (фильм),"антиутопия ,  триллер ,  боевик ,  драма",Киндзи Фукасаку,Япония,16 декабря   2000   и  2000
"Круг (фильм, 2000)",драма,Джафар Панахи,Иран  Италия  Швейцария,2000
Красивая (фильм),драма комедия,Салли Филд,США,2000
Крампак,комедия  /  драма,Сеск Гай,Испания,2000
"Коммуналка (фильм, 2000)",комедия,Алекс де ла Иглесия,Испания,2000
Красная планета (фильм),фантастика боевик триллер,Энтони Хоффман,США,2000  и  1 марта   2001
Код неизвестен,драма,Михаэль Ханеке,Франция  Германия  Румыния,2000
"Ковчег (фильм, 2000)",драма,Мераб Кокочашвили,Грузия,2000
Князь Дракула,фильм-биография ужасы триллер,Джо Шаппелл,США,2000
Колдовство 11: Сёстры по крови,ужасы,Рон Форд,США,2000
Мёртвые ненавидят живых,фильм ужасов,Дэйв Паркер,США,1999
"Клетка (фильм, 2000)",Психологический триллер Фантастика,Тарсем Сингх,США  Германия,2000
"Коммуна (Париж, 1871)",драма псевдодокументальный,Питер Уоткинс,Франция,2000
Клуб разбитых сердец: Романтическая комедия,комедия драма,"Грег Берланти  Клуб разбитых сердец: Романтическая комедия  (2000, также сценарист)  Жизнь, как она есть  (2010)  С любовью, Саймон  (2018)  Покажи мне Луну  (2024)",США,2000
Меняемся воротами,комедия   семейный фильм   спортивный фильм,Дэвид Стейнберг,США,1999
"Клуб самоубийц (фильм, 2000)",драма,Рэйчел Самуэльс,США,2000
Матрица (фильм),научная фантастика  киберпанк  боевик,Братья Вачовски,США     Австралия,1999
"Клоун-убийца (фильм, 2000)","ужасы ,  мистический   слэшер",Крейг Рос мл.,США,2000
Ирма Веп (фильм),драма  /  комедия,Оливье Ассаяс,Франция,1996
Маменькин сыночек,комедия  комедийный фильм  и  фильм об американском футболе,Фрэнк Корачи,США   США,6 ноября   1998   и  15 апреля   1999
Марис Янсонс (фильм),документальный фильм,Мара Страуме,Латвия,1999
"Мама (фильм, 1999)",комедийная   драма   музыкальный фильм,Денис Евстигнеев,Россия,1999
"Матч (фильм, 1999)",комедия,Мик Дэвис,Великобритания,1999
Магнолия (фильм),драма,Пол Томас Андерсон,США,1999
Любовь зла…,комедия,Владимир Зайкин,Россия,1999
"Людоед (фильм, 1999)",фильм ужасов драма триллер,Антония Бёрд,Великобритания  США  Чехия,1999
Маппет-шоу из космоса,семейный фильм кинофантастика,Тим Хилл,США,"1999 ,  16 декабря   1999   и  14 июля   1999"
Грбавица (фильм),драма,Ясмила Жбанич,Босния и Герцеговина   Австрия   Германия   Хорватия,2006  и  6 июля   2006
Элитный отряд 2,боевик   криминальный фильм драма,Жозе Падилья,Бразилия,2010
Я не хочу идти в одиночку,драма,Даниэл Рибейру,Бразилия,2010
Тайны племени,документальный,Жозе Падилья,Бразилия,2010
Лопе де Вега: Распутник и соблазнитель,"Драма, биография, исторический",Андруча Уэддингтон,"Испания ,  Бразилия",2010
Кинкас Крик из Воды,комедия,Сержиу Машаду,Бразилия,2010
"Америка (фильм, 2010)",Криминальная драма,Жуан Нуно Пинту,Испания  Португалия  Россия  Бразилия,2010
Подпольное детство,историческая драма,Бенхамин Авила,Аргентина  Бразилия  Испания,2011
Матери Шико Хавьера (фильм),драма,Глаубер Филхо    Халдер Гомес,Бразилия,2011
Капитаны песка (фильм),социальная драма приключения,Сесилия Амаду (Cecília Amado) Ги Гонсалвес (Guy Gonçalves),Бразилия  Португалия,2011
Рио (мультфильм),"мюзикл   приключение   комедия  поп ,  латино ,    альтернативный хип-хоп  Саундтрек",Карлус Салданья,США   США    США,8 апреля   2011        15 апреля   2011
"Клоун (фильм, 2011)",комедия драма,Селтон Мелу,Бразилия,2011
Максимилиан (фильм),комедия,Роман Качанов,Россия,1999
Бруна Сурфистинья (фильм),драма,Маркус Балдини,Бразилия,2011
Виолета отправилась на небеса,биография,Андрес Вуд,Чили  Аргентина  Бразилия,2011
Сон о стране игрушек,анимация,Артур Мельбурн-Купер,Великобритания,1908
"Грозовой перевал (фильм, 1920)",драма,А. В. Брамбл,Великобритания,1920
Любимый друг,драма,Вентура Понс,Испания,1999
Зал ожидания (короткометражный фильм),короткометражка драма мелодрама,Йос Стеллинг,Германия  Нидерланды,1996
Зазель,"Порнофильм , Мистика  фантасмагория",Филип Монд,США,1996
"Загадай желание (фильм, 1996)",комедия семейный фильм фэнтези,Блэр Трэ,США,1996
Любить по-русски 3: Губернатор,остросюжетный (социальная киноповесть),Евгений Матвеев,Россия    Беларусь,1999
Жестяной кубок,мелодрама,Рон Шелтон,США,1996
Если Люси упадёт,"комедия ,  мелодрама",Эрик Шеффер,США,1996
Женщина-арбуз,Комедия,Шерил Дунье,США,1996
"Жена священника (фильм, 1996)",романтическая  комедия,Пенни Маршалл,США,1996
Ермак (фильм),историческая драма фильм-биография,Валерий Усков Владимир Краснопольский,СССР → /  Россия  Германия,1996
Екатерина Великая (фильм),"мелодрама, драма, биография, исторический фильм",Марвин Джей Чомски,"Германия ,     Австрия ,     США",1996
"Дьяволицы (фильм, 1996)",триллер   драма,Джеремайя Чечик,США,1996
Калейдоскоп любви,драма,Фернанду Мейреллиш,Франция  Великобритания  Австрия  Бразилия,2011
Дрожь земли 2: Повторный удар,комедия триллер фантастика ужасы,С. С. Уилсон,США,1996
Друзья и любовники,драма,"Том Хансингер, Нил Хантер",Великобритания,1996
Драгоценная находка,приключенческий фильм  и  научно-фантастический фильм,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} Филипп Мора",США,1996
"Дядя Сэм (фильм, 1996)","Фильм ужасов ,  слэшер ,  комедия",Уильям Лустиг,США,1996
Домашний арест (фильм),комедия,Гарри Уайнер,США,1996
Дорогой Боженька,комедия  /  семейный,Гарри Маршалл,США,1996
Дорога домой 2: Затерянные в Сан-Франциско,приключенческий фильм  семейный фильм  комедия,Дэвид Р. Эллис,США,1996
Дом проклятых,фильм о привидениях,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} Скотт Леви",США,1996
Дипломная работа (фильм),триллер,Алехандро Аменабар,Испания,1996
Джуд (фильм),драма исторический фильм,Майкл Уинтерботтом,Великобритания,1996
Дикие животные (фильм),драма / Криминальный фильм,Ким Ки Дук,Республика Корея,1996
Дилер (фильм),"криминальная драма гангстерский фильм триллер  рок ,  транс",Николас Виндинг Рефн,Дания   Дания,1996
Заводила,комедия,Питер Фаррелли Бобби Фаррелли,США,1996
Джерри Магуайер,спортивный фильм драма комедия,Кэмерон Кроу  Язык нежности  (1983)  Телевизионные новости  (1987)  Я согласен на всё  (1994)  Лучше не бывает  (1997)  Испанский английский  (2004)  Как знать…  (2010)  Элла Маккей  ( .mw-parser-output .ts-comment-commentedText{border-bottom:1px dotted;cursor:help}@media(hover:none){.mw-parser-output .ts-comment-commentedText:not(.rt-commentedText){border-bottom:0;cursor:auto}} TBA ),США,1996
"Джейн Эйр (фильм, 1996)",мелодрама,Франко Дзеффирелли,Франция  США  Италия  Великобритания,1996
"Джек (фильм, 1996)",драма Комедия,"Фрэнсис Форд Коппола     Развлекающиеся девушки и коридорный  (1962)  Сегодня вечером — наверняка  (1962)  Битва за пределами Солнца   (1962)  Безумие-13  (1963)  Ты теперь большой мальчик  (1966)  Радуга Финиана  (1968)  Люди дождя  (1969)  Крёстный отец  (1972)  Разговор  (1974)  Крёстный отец 2  (1974)  Апокалипсис сегодня  (1979)  От всего сердца  (1982)  Бойцовая рыбка  (1983)  Изгои  (1983)  Клуб «Коттон»  (1984)  Капитан Ио  (1986)  Пегги Сью вышла замуж  (1986)  Сады камней  (1987)  Такер: Человек и его мечта  (1988)  Нью-йоркские истории  (новелла «Жизнь без Зои», 1989)  Крёстный отец 3  (1990)  Дракула  (1992)  Крёстный отец. Трилогия. 1901—1980  (1992)  Джек  (1996)  Благодетель  (1997)  Молодость без молодости  (2007)  Тетро  (2009)  Между  (2011)  Distant Vision   (2015)  Мегалополис  (2024)",США,1996
"Дети революции (фильм, 1996)",трагикомедия,Питер Данкан,Австралия,1996
Дети кукурузы 4: Сбор урожая,фильм ужасов,Грег Спенс,США,1996
"День независимости (фильм, 1996)",фантастика боевик фильм-катастрофа,Роланд Эммерих,США,1996
Крутые: смертельное шоу,детективный фильм,Игорь Шавлак   Василий Мищенко,Россия,1998
День восьмой,драма   комедия,Жако Ван Дормаль,Бельгия  Франция  Великобритания,1996
Долгий поцелуй на ночь,боевик,Ренни Харлин  Поцелуй навылет  (2005)  Железный человек 3  (2013)  Славные парни  (2016)  Хищник  (2018)  Грязная игра  (2025),США,1996
"Кровь, наглость, пули и бензин",боевик   комедия   криминальный фильм,Джо Карнахан,США,1998
Крупье (фильм),"неонуар ,  триллер",Майк Ходжес,Великобритания,1998
"Дневной свет (фильм, 1996)","фильм-катастрофа ,  боевик ,  триллер",Роб Коэн,США,1996
Крик любви,комедия,Жозиан Баласко,Франция,1998
Кровавый четверг,криминальный фильм драма боевик триллер черная комедия,Скип Вудс,США,1998
Крезанутые,"комедия ,  драма ,  музыка",Брайан Гибсон,Великобритания,1998
"Красная скрипка (фильм, 1998)",драма мелодрама мистика музыкальный фильм,Франсуа Жирар,Италия    Великобритания    Канада,1998
Красный угол (фильм),"драма ,  триллер",Джон Эвнет,США,1997  и  22 января   1998
Крутой вираж,"драма, семейный, спорт",Грег Биман,США,22 августа 1998 года
Комната в отеле,драма,Расим Оджагов,Азербайджан,1998
Крикун (фильм),Фильм ужасов,Дэвид ДеКото,США,1998
"Конец августа, начало сентября",драма,Оливье Ассаяс,Франция,1998
Кокки — бегущий доктор,ужасы психоделика черная комедия трэш триллер артхаус драма,Светлана Баскова,Россия,1998
Колдовство 10: Повелительница,ужасы,Элизар Кабрера,Великобритания,1998
Кое-что о Марте,романтическая комедия,Ник Хэмм,Великобритания,1998
Кое-что о сексе,"комедия ,  драма",Адам Рифкин,США,1998
Когда влюбляешься,Мелодрама,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} Дипак Сарин",Индия,1998
Ковбоям всегда мало (сериал),комедийная драма,Кари Скогланд,Канада,1998
Книга джунглей: История Маугли,приключения   семейный фильм,Ник Марк,США,1998
Когда все свои,криминальная комедия,Анатолий Эйрамджан,Россия,1998
Когда молчат фанфары,военный фильм драма,Джон Ирвин,США,1998
Классик (фильм),криминальный фильм боевик,Георгий Шенгелия,Россия,1998
Кому я должен — всем прощаю,комедия,Валерий Пендраковский,Россия,1998
"Кларисса (фильм, 1998)",экранизация драма,Жак Дере,Франция  Германия  Австрия,1998
Каспер встречает Венди,"комедия ,  семейный",Шон Макнамара,США,1998
Кислотный дом (фильм),"драма ,  фантастика",Пол Макгиган,Великобритания,1998
"Карты, деньги, два ствола",криминальный фильм чёрная комедия боевик,Гай Ричи,Великобритания  США,1998
"Карнавал душ (фильм, 1998)",фильм ужасов,Адам Гроссман,США,1998
Князь Юрий Долгорукий (фильм),"исторический фильм, драма,  фильм-биография",Сергей Тарасов,Россия,1998
Контракт со смертью,драма криминальный триллер,Дмитрий Астрахан,Россия  Беларусь,1998
Капли дождя на раскалённых скалах,драма,Франсуа Озон,Франция,2000
Китайский кофе,драма,Аль Пачино  В поисках Ричарда  (1996)  Китайский кофе  (2000),США,2000
Итальянский для начинающих,комедия мелодрама драма,Лоне Шерфиг,Дания,2000
Как убить соседскую собаку?,драма     комедия,Майкл Калеснико,США  Германия,2000
К бою готовы,бадди-муви  и  комедийный фильм,Брайан Роббинс,США,2000
Истинные происшествия,комедия,Мурад Ибрагимбеков,Россия,2000
Как бы не влюбиться,мелодрама,К. Мурали Мохан Рао,Индия,2000
Каникулы Санта Клауса,Комедия,Уильям Диар,США,2000
Каждое любящее сердце,мелодрама,Радж Канвар,Индия,2000
Империя под ударом,,Сергей Газаров Андрей Малюков Вячеслав Никифоров Зиновий Ройзман Сергей Снежкин Иван Криворучко,Россия,2000
История одного похищения,Комедия,Скотт Александер и Ларри Карезюски,США,2000
Искусство войны (фильм),боевик,Кристиан Дюгей,США  Канада,2000
"Изгой (фильм, 2000)",робинзонада   драма,Роберт Земекис  Я хочу держать тебя за руку  (1978)  Подержанные автомобили  (1980)  Роман с камнем  (1984)  Назад в будущее  (1985)  Кто подставил кролика Роджера  (1988)  Назад в будущее 2  (1989)  Назад в будущее 3  (1990)  Смерть ей к лицу  (1992)  Форрест Гамп  (1994)  Контакт  (1997)  Что скрывает ложь  (2000)  Изгой  (2000)  Полярный экспресс  (2004)  Беовульф  (2007)  Рождественская история  (2009)  Экипаж  (2012)  Прогулка  (2015)  Союзники  (2016)  Удивительный мир Марвена  (2018)  Ведьмы  (2020)  Пиноккио  (2022)  Тогда. Сейчас. Потом  (2024),США,2000
"Красотки (фильм, 1998)",мелодрама комедия,Ариэль Зейтун,Франция,1998
Идеальный шторм (фильм),приключенческий   драматический   фильм-катастрофа,Вольфганг Петерсен,США,2000
"Золушка (фильм, 2000)",мелодрама,Бибан Кидрон,Великобритания,2000
Идеальная игрушка,"комедия ,  семейный ,  фэнтези ,  спорт",Марк Росман,США,2000
"Игра на вылет (фильм, 2000)",триллер мелодрама,Константин Одегов,Россия,2000
Знакомство с родителями,комедия,Джей Роуч,США,2000
Ибан и Чарли,драма,Джеймс Болтон,США,2000
Золотая чаша (фильм),драма,Джеймс Айвори,США  Франция  Великобритания,2000
Звонок 0: Рождение,"мистика ,  ужасы",Норио Цурута,Япония,2000
Золотая пыль,драма мелодрама вестерн,Майкл Уинтерботтом,Великобритания  Франция  Канада,2000
Зверофабрика,криминальный фильм   драма,Стив Бушеми,США,2000
История Одри Хепбёрн,"биографический ,  драма",Стивен Робман,США,2000
Защита Лужина (фильм),драма,Марлен Горрис,Великобритания    Франция,2000
Зелёные пальцы,Комедия,Джоэль Хершман,Великобритания,2000
Любимая тёща,комедия,Габриэль Агийон,Франция,1999
"Киллер (фильм, 1998)",криминальная драма,Дарежан Омирбаев,Казахстан  Франция,1998
Лэйк Плэсид: Озеро страха,природный фильм ужасов,Стив Майнер,США,1999
Затяжной прыжок (фильм),боевик,Гай Манос,США,2000
"Заложники (фильм, 2000)",триллер,Ли Стэнли,США,2000
Заплати другому,драма   мелодрама,Мими Ледер,США,2000
Лучше шоколада,романтическая комедия   драма,Энн Уилер,Канада,1999
Закон противоположностей,драматический фильм,Рикки Тоньяцци,Италия,2000
Лунный папа,трагикомедия,Бахтиёр Худойназаров,Австрия    Германия      Россия    Таджикистан    Узбекистан    Швейцария    Франция    Япония,1999
Кэрри 2: Ярость,фильм ужасов о сверхъестественном,Кэтт Ши,США,1999
Кубок (фильм),"спортивный фильм ,  комедия",Кхьенце Норбу,Бутан    Австралия,1999
Куда идти хорошему человеку,"криминальный ,  комедия",Джонни То,Гонконг,1999
Крутой учитель Онидзука,"комедия , школа",Нориюки Абэ  Масаюки Судзуки,,8 января   1997 года   —  13 февраля   2002 года  10 июня   2009 года   —  16 ноября   2011 года  14 апреля   2014 года   — настоящее время
"Кто ты? (фильм, 1999)",фильм-триллер,Рам Гопал Варма,Индия,1999
Крысолов (фильм),драма,Линн Рэмси,Великобритания    Франция,1999
Лебедь и странник,биографическая драма   музыкальный фильм,Тимо Койвусало,Финляндия,1999
Кровавый спорт 4: Жестокое кумите,боевик  /  мелодрама,Элвис Рестайно,США,1999
Кэндимен 3: День мертвецов,"фильм ужасов о сверхъестественном ,  городское фэнтези ,  слэшер",Тури Мейер,США,1999
Кутерьма (фильм),драма комедия биографический,Майк Ли,Великобритания,1999
Кровавое лето Сэма,криминальный фильм   драма   мелодрама   триллер,Спайк Ли,США,1999
Криминальные любовники,криминальная драма триллер,Франсуа Озон,Франция,1999
"Кричи, так как я тебя убью",фильм ужасов триллер,Роберт Сигл,Германия,1999
Крепость 2: Возвращение,"боевик ,  фантастика",Джеф Мёрфи,США  Люксембург,1999
Коррупционер (фильм),боевик триллер,Джеймс Фоули,США,1999
Красивая работа,драма,Клер Дени,Франция,1999
Король футбола,детская  кинокомедия,Тони Гиглио,США,1999
Короли рока,"комедия ,  драма ,  музыка",Донал Ларднер Уорд  Миссия невыполнима 3  (2006)  Звёздный путь  (2009)  Супер 8  (2011)  Стартрек: Возмездие  (2013)  Звёздные войны: Пробуждение силы  (2015)  Звёздные войны: Скайуокер. Восход  (2019),США,1999
Красота по-американски,комедийная   драма,Сэм Мендес,США,1999
Королевы убийства,комедия криминал,Даррен Стейн,США,1999
Кормилица (фильм),драма,Марко Беллоккьо,Италия,1999
"Конец света (фильм, 1999)",мистический   боевик,Питер Хайамс,США,1999
Концерт в Каверн-Клаб,музыкальный,Geoff Wonfor,США,1999
Дело — труба,драма комедия любовная история музыкальный фильм,Марк Херман,Великобритания  США,1996
"Конец романа (фильм, 1999)",драма  /  мелодрама,Нил Джордан,США  Великобритания,1999
Комната для Ромео Брасса,трагикомедия,Шейн Медоуз,"Великобритания ,   Канада",1999
Дельта (фильм),драма,Айра Сакс,США,1996
Девушка № 6,кинокомедия мелодрама драма триллер,Спайк Ли,США,30 мая   1996   и  1996
Девочка Никто,драма,Анджей Вайда,Польша,1996
Двое у моря,комедия  /  мелодрама,Билл Беннетт,США,1996
"Двенадцатая ночь (фильм, 1996)",комедия драма мелодрама,Тревор Нанн,Великобритания  Ирландия  США,1996
Командир эскадрильи (фильм),фантастика   боевик   приключенческий фильм,Крис Робертс,США    Люксембург,1999
Два дня в долине,криминальный фильм   триллер,Джон Херцфелд,США,1996
Дантист (фильм),фильм ужасов,Брайан Юзна,США,1996
Гражданка Рут,комедийная драма,Александр Пэйн,США,1996
"Герой-одиночка (фильм, 1996)",боевик  /  драма,Уолтер Хилл,США,"1996 ,  31 октября   1996   и  20 сентября   1996"
Коридоры времени,"фэнтези ,  драма ,  история",Эрик Густавсон,Норвегия  Швеция,1999
"Гамлет (фильм, 1996)",драма,Кеннет Брана,Великобритания  США,1996
Газонокосильщик 2: За пределами киберпространства,фантастика киберпанк боевик триллер,Фархад Мэнн,США  Великобритания  Япония,1996
"Давайте потанцуем? (фильм, 1996)","комедийный фильм  ,  комедийная драма  и  драматический фильм",Масаюки Суо,Япония,1996
Выход в красное,драма,Юрек Богаевич,США,1996
Вход к тигру,комедия-драма,Шу Кэй,Гонконг,1996
Всё взаимно,мелодрама,Шерон Поллак,США,1996
"Все говорят, что я люблю тебя",комедия мелодрама мюзикл,Вуди Аллен,США,1996
"Время убивать (фильм, 1996)",юридический  триллер,Джоэл Шумахер,США,1996
"Враг общества № 1 (фильм, 1996)",биографический фильм,Марк Лестер,США,1996
Время бешеных псов,криминальная драма   комедия,Лэрри Бишоп,США,1996
Враг любви (фильм),трагикомедия,Мехмуд,Индия,1996
Восставший из ада 4: Кровное родство,научно-фантастический   исторический   фильм ужасов,Кевин Ягер  (в титрах указан как Алан Смитти),США,1996
Ворон 2: Город ангелов,супергероика городское фэнтези неонуар готика,"Тим Поуп  ЗигЗаг  (2002)  Блэйд: Троица  (2004)  Невидимый  (2007)  Нерождённый  (2009)  Вспомни, что будет  (сериал, 2009)  Демоны Да Винчи  (сериал, 2013—2015)",США,1996
"Вор в законе (фильм, 1996)",боевик   триллер   криминальный фильм,Джон Ву,Канада,1996
"Война в доме (фильм, 1996)",драма,Эмилио Эстевес,США,1996
Возвращение Фантоцци,эксцентрическая  комедия  с элементами  лирики,Нери Паренти,Италия,1996
Воздух свободы (фильм),драма,Луис Армандо Роче,Венесуэла,1996
Земля блуждающих душ,документальный фильм,Ритхи Пань,Франция  Камбоджа,2000
"Выкуп (фильм, 1996)","триллер ,  драма",Рон Ховард,США,1996
Гамера 2: Нападение космического легиона,"фантастика ,  токусацу ,  боевик",Сюсукэ Канэко,Япония,1996
История вечной любви,драма комедия мелодрама,Энди Теннант,США,1998
История кино в Попелявах,Драма,Ян Якуб Кольский,Польша,1998
История Брэндона Тины,документальный фильм,Сьюзан Муска   Грета Олафсдоттир,США,1998
