Название,Жанр,Продюссер,Страна,Год
Малавита (фильм),чёрная комедия,Люк Бессон,США  Франция,2013
Китайская головоломка,драма,Седрик Клапиш,Франция  США  Бельгия,2013
За сигаретами,"роуд-муви ,  драматический фильм    и  комедийный фильм",Эмманюэль Берко,Франция,2013
Кидон (фильм),комедийный фильм,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} Emmanuel Naccache",Франция  Израиль,2013
"Камилла Клодель, 1915","драма ,  биография",Брюно Дюмон,Франция,2013
Конгресс (фильм),фантастика анимация,Ари Фольман Йони Гудман (анимация),Израиль  Польша  Германия  Люксембург  Франция  Бельгия,2013
Исчезнувшее изображение,документальный фильм,Ритхи Пань,Франция  Камбоджа,2013  и  19 мая   2013
Жизнь Адель,романтический фильм,Абделатиф Кешиш,Франция  Бельгия  Испания,2013
"Золотая клетка (фильм, 2013, Франция)","комедия ,  драма",Рубен Алвес,Франция  Бельгия,2013
Диана: История любви,биографическая   драма,Оливер Хиршбигель,Великобритания  Франция  Бельгия  Швеция,2013
Жапплу,драматический фильм,Кристиан Дюгей,Франция  Канада,13 марта   2013   и  6 февраля   2014
Иллюзия обмана,детективный   триллер  Саундтрек,Луи Летерье,США  Франция,2013
Джимми Пикар,драма,Арно Деплешен,Франция  США,18 мая   2013
Внутри Льюина Дэвиса,трагикомедия,"Джоэл Коэн Итан Коэн  Просто кровь  (1984)  Воспитывая Аризону  (1987)  Перекрёсток Миллера  (1990)  Бартон Финк  (1991)  Подручный Хадсакера  (1994)  Фарго  (1996)    Большой Лебовски  (1998)    О, где же ты, брат?  (2000)  Человек, которого не было  (2001)  Невыносимая жестокость  (2003)  Игры джентльменов  (2004)  Старикам тут не место  (2007)  После прочтения сжечь  (2008)  Серьёзный человек  (2009)  Железная хватка  (2010)    Внутри Льюина Дэвиса  (2013)  Да здравствует Цезарь!  (2016)  Баллада Бастера Скраггса  (2018)  Трагедия Макбета  (2021)  Джерри Ли Льюис: Проблемы в уме   (2022)  Красотки в бегах  (2024)  Милая, не надо!  (2025)",США,2013
Вакольда,драма,Лусия Пуэнсо,Аргентина  Франция  Норвегия  Испания,2013
"Сирота (фильм, 2016)",драма,Арно де Пальер,Франция,2016
"Враг (фильм, 2013)",детектив психологический триллер драма,Дени Вильнёв,Канада  Испания  Франция,2013
Сент-Амур: Удовольствия любви,комедийный фильм   и  комедийная драма,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} Бенуа Делепин    Гюстав Керверн",Франция  Бельгия,13 октября   2016    и  2016
Белль и Себастьян (фильм),"драма ,  приключение ,  семейный фильм",Николя Ванье,Франция,2013
"Семейный бюджет (фильм, 2016)",драматический фильм,Жоаким Лафосс,Франция  Бельгия,"3 ноября   2016  ,  6 апреля   2017   и  2016"
Кот Гром и заколдованный дом,комедия  Компьютерная анимация,Жереми Дегрюсон Бен Стассен,Бельгия  Великобритания,2013
Алан Партридж: Альфа Отец,комедия,Деклан Лоуни,Великобритания  Франция,2013
Робинзон Крузо: Очень обитаемый остров,комедия приключения семейный  компьютерная,Винсент Кестелут    Бен Стассен,Бельгия  Франция,2016
Пришельцы 3: Взятие Бастилии,"комедия ,  фантастика",Жан-Мари Пуаре,Франция  Бельгия  Чехия,2016 год
Проект Лазарь,научно-фантастический фильм,Матео Хиль,Франция,2016  и  23 июля   2016
"Анжелика, маркиза ангелов (фильм, 2013)",мелодрама приключения,Ариель Зейтун,Франция,2013
"Свадьба (фильм, 2016)",драматический фильм,Стефан Стрекер,Бельгия  Пакистан  Люксембург  Франция,2016
"Первый, последний",комедийная драма  и  драматический фильм,Були Ланнерс,Франция  Бельгия,"2016 ,  11 мая   2017   и  9 февраля   2017"
Опасная игра Слоун,драма политический триллер,Джон Мэдден,США  Франция,2016
Непорочные (фильм),драма,Анн Фонтен,Франция  Бельгия  Польша,2016
Неруда (фильм),биографический фильм  и  драматический фильм,Пабло Ларраин,Чили  Аргентина  Франция  Испания  США,2016
Персональный покупатель,"фильм-триллер ,  драматический фильм ,  фильм о привидениях  ,  фильм-тайна   и  фильм ужасов",Оливье Ассаяс,Франция  Бельгия  Чехия  Германия  США,"17 мая   2016 ,  19 января   2017   и  30 марта   2017"
"Она (фильм, 2016)",триллер,Пол Верховен,Франция  Германия  Бельгия,2016
Одиссея (фильм),биографический фильм,Жером Салль,Франция,2016
Новости с планеты Марс,комедийный фильм,Доминик Молль,Франция  Бельгия,8 сентября   2016   и  2016
Неоновый демон,психологический триллер,Николас Виндинг Рефн,США  Дания  Франция,2016
Небеса подождут (фильм),драматический фильм,Мари-Кастиль Менсьон-Шаар,Франция,2016
Прекрасные дни в Аранхуэсе,драма,Вим Вендерс,Франция  Германия,2016
"Мой ангел (фильм, 2016)",романтическое фэнтези,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} Гарри Клевен",Франция    Бельгия,2017
"Наёмник (фильм, 2016)",драматический фильм,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} Sacha Wolff",Франция,2016
Любовь не по размеру,комедия,Лоран Тирар,Франция,2016
Великая красота,сатирическая   трагикомедия,Паоло Соррентино,Италия  Франция,2013
Мальчишник в Паттайе,комедийный фильм,Франк Гастамбид,Франция,2016
Когда тебе семнадцать,кинодрама,Андре Тешине,Франция,2016
Механик: Воскрешение,боевик триллер,Деннис Ганзель,США  Франция,2016
Красная черепаха,притча  рисованная,Михаэль Дюдок де Вит,Франция  Япония  Бельгия,18 мая 2016
"Я и ты (фильм, 2017)",драма,Мартен Прово,Франция,2017
"Коммивояжёр (фильм, 2016)",драма,Асгар Фархади,"Иран ,  Франция",2016
Людоеды (фильм),комедийная драма  и  драматический фильм,Леа Фенер,Франция,2016
Часть тени,фильм-триллер,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} Samuel Tilman",Бельгия  Франция  Швейцария,2017
Крутые меры,"боевик ,  драма",Джеймс Уоткинс,Великобритания,2016
Киллер поневоле,комедия,Паскаль Шомей,Франция,2016
Чамбра,драматический фильм,Йонас Карпиньяно,Италия    Франция     Швеция    Германия    Бразилия    США,2017  и  5 апреля   2018
Mutafukaz,"боевик ,  комедия  рисованная",Сёдзиро Нисими Гийом Ренар,Франция  Япония,2017
"Убийцы (фильм, 2017)",триллер,Франсуа Трукен,"Франция ,  Бельгия",2017
Сюжет 35,документальный,Эрик Каравака,Франция,2017
Хранительницы,"драматический фильм  и  .mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} экранизация романа",Ксавье Бовуа,Франция,2017
Чудеса в Париже,комедийный фильм,Доминик Абель Фиона Гордон,Франция  Бельгия,"2016 ,  7 сентября   2017   и  30 марта   2017"
Тельма (фильм),Артхаус,Йоаким Триер,Норвегия  Франция  Швеция  Дания,2017
Сука-судьба,драматический фильм   и  фильм-триллер,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} Джоан Чемла",Франция,10 октября   2017
Страсть и верность,драма,Михаэль Р. Роскам,Бельгия  Франция,2017
"Счастье (фильм, 2017)",драматический фильм,Ален Гомис,Франция    Германия   Сенегал    Бельгия    Ливан,11 февраля   2017  и  5 октября   2017
С нами,драматический фильм,Люка Бельво,Франция  Бельгия,март  2017  и  24 августа   2017
Санта и компания,кинокомедия,Ален Шаба  Дидье   (1997)  Астерикс и Обеликс: Миссия «Клеопатра»   (2002)  Миллион лет до нашей эры   (2004)  Джунгли зовут! В поисках Марсупилами   (2012)  Санта и компания   (2017),Франция      Бельгия,2017
Роден (фильм),биографическая   драма,Жак Дуайон,Франция  Бельгия,2017
Стань легендой! Бигфут Младший,комедия  Компьютерная анимация,Бен Стассен Жереми Дегрусон,Франция  Бельгия,2017
Тебя никогда здесь не было,триллер,Линн Рэмси,Великобритания  США  Франция,2017
Жаннетт: Детство Жанны д’Арк,драматический фильм  и  музыкальный фильм,Брюно Дюмон,Франция,"2017 ,  25 декабря   2019  и  6 сентября   2017"
Жизни Терезы,"документальный фильм  и  .mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} ЛГБТ-фильм",Себастьен Лифшиц,Франция,2016
Как чокнутые,комедийная драма,Паоло Вирдзи,Италия  Франция,2016
Дочь Бреста,Драма,Эмманюэль Берко,Франция,2016
"Жизнь (фильм, 2016)",драма,Стефан Бризе,Франция  Бельгия,2016
"Джеки (фильм, 2016)",драма биография,Пабло Ларраин,США  Чили  Франция,2016
Тайна 7 сестёр,"научно-фантастический фильм ,  фильм-триллер  и  антиутопический фильм",Томми Виркола,Великобритания  Франция  Бельгия,2017
"Вечность (фильм, 2016)",Романтическая драма,"Чан, Ань Хунг",Франция  Бельгия,2016
Диван Сталина,драма,Фанни Ардан,Франция      Португалия,2016
Смерть Сталина (фильм),политико-сатирическая   чёрная комедия,Армандо Ианнуччи,Великобритания  Франция  Бельгия,2017
"Девять жизней (фильм, 2016)",комедия,Барри Зонненфельд,Франция  Китай,"29 апреля   2016 ,  8 сентября   2016  ,  3 августа   2016   и  5 августа   2016"
В тени женщин,драматический фильм,Филипп Гаррель,Швейцария  Франция,2015  и  28 января   2016
Голограмма для короля,комедия драма,Том Тыквер,США  Франция  Германия  Острова Кайман  Мексика  Марокко  Египет,2016
Дагеротип (фильм),фильм ужасов,Киёси Куросава,Япония    Франция,2016
"В тихом омуте (фильм, 2016)",комедия,Брюно Дюмон,Франция,2016
В лесах Сибири,"драма ,  приключения",Сафи Неббу,Франция,2016
Бриджит Джонс 3,комедия мелодрама  дэнс-поп  и  современный ритм-н-блюз,Шэрон Магуайр,Англия  США  Франция  Великобритания,2016
В постели с Викторией,"комедия, драма",Жюстин Трие,Франция,2016
"Будущее (фильм, 2016)",драма,Миа Хансен-Лёве,Франция  Германия,2016
Бесконечная поэзия,драма биография   фэнтези,Алехандро Ходоровски,Франция    Великобритания    Чили,2016
"Без тормозов (фильм, 2016)","комедия ,  экшен",Николя Бенаму,"Франция ,   Северная Македония",2016
2+1,драма  семейный  Музыка к фильму,Юго Желен,Франция   Великобритания,2016
Пусть трупы загорают,"фильм-триллер  и  .mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} экранизация романа",Элен Катте  Брюно Форзани,Бельгия  Франция,"2017 ,  18 октября   2017  ,  10 января   2018   и  31 августа   2018"
"Балерина (фильм, 2016)",драма,Валери Мюллер Анжелен Прельжокаж,Франция,2016
Праздничный переполох,комедия,Эрик Толедано     Оливье Накаш,Франция,2017
Балерина (мультфильм),"приключения ,  мюзикл ,  семейный фильм  компьютерная",Эрик Саммер Эрик Уорин,Канада  Франция,2016
Призраки Исмаэля,драма,Арно Деплешен,Франция,"май  2017 ,  4 августа   2017  и  8 марта   2018"
Приключения Паддингтона 2,семейный фильм комедия,Пол Кинг,Великобритания  Франция,2017
"Пациенты (фильм, 2016)",комедийный фильм  и  драматический фильм,Фабьен Марсуд,Франция,2017  и  14 декабря   2017
"Экстаз (фильм, 2018)","триллер ,  психологический фильм ужасов",Гаспар Ноэ,Франция,2018
Погружение (фильм),триллер драма мелодрама,Вим Вендерс,США  Франция  Испания,2017
Овердрайв (фильм),боевик триллер,Антонио Негрет,Франция,2017
Он и Она,"комедийный фильм ,  драматический фильм  и  романтический фильм",Николя Бедос,Франция,8 марта   2017  и  20 декабря   2018
"Первый номер (фильм, 2017)",драматический фильм,Тони Маршалл,Франция,2017
"Основано на реальных событиях (фильм, 2017)",драма психологический триллер,Роман Полански,Франция  Бельгия,2017
"Опекунство (фильм, 2017)",драматический фильм,Ксавье Легран,Франция,"8 сентября   2017  ,  23 августа   2018   и  29 марта   2018"
"Обещание на рассвете (фильм, 2017)","драма ,  биография ,  исторический ,  военный",Эрик Барбье,Франция  Бельгия,2017  и  7 февраля   2019
"Взаперти (фильм, 2016)",триллер,Фэррен Блэкберн,США  Франция  Канада,2016
Наши сумасшедшие годы,"драматический фильм  и  .mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} ЛГБТ-фильм",Андре Тешине,Франция,2017
Найти сына,комедия,Себастьен Тьери   Венсан Лобель,Франция   Бельгия,2017
Мелкий фермер (фильм),драма,Юбер Шаруэль,Франция,2017
Обмен принцессами,"исторический фильм  и  .mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} экранизация романа",Марк Дюгейн,Франция  Бельгия,2017  и  28 февраля   2019
Молодая женщина,"драма ,  комедия",Леонор Серай,Франция,2017
Молодой Годар,драма биография,Мишель Хазанавичус,Франция,2017
"На пределе (фильм, 2017)",драма,Фатих Акин,Германия  Франция,2017
"Марвин, или прекрасное воспитание","драматический фильм  и  .mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} ЛГБТ-фильм",Анн Фонтен,Франция,2017
"Мастерская (фильм, 2017, Франция)",драматический фильм,Лоран Канте,Франция,2017
Любовник на день,драматический фильм,Филипп Гаррель,Франция,2017
Камера Клэр,драма,Хон Сансу,Республика Корея  Франция,2017
"Лица, деревни",документальный фильм,Аньес Варда  JR (художник),Франция,"май  2017 ,  31 мая   2018  и  26 апреля   2018"
"Щекотка (фильм, 2018)",драма,"Андреа Бескон  ,  Эрик Метайе",Франция,2018
"Мадам (фильм, 2017)",комедия,Аманда Штерс,Франция,2017
Иней (фильм),военная  драма,Шарунас Бартас,Литва  Франция  Украина  Польша,2017
"И смех, и грех (фильм)",комедийный фильм,Фабрис Эбуэ,Франция,2017
"Шахерезада (фильм, 2018)",драма,Жан-Бернар Марлен,Франция,2018
"Квадрат (фильм, 2017)",драма комедия,Рубен Эстлунд,Швеция  Германия  Франция  Дания,2017
Миссис Хайд,"комедия ,  фантастика ,  драма",Серж Бозон,Франция,2017
Шоу Мистико,"драма , социальная драма,  мелодрама",Карлус Диегис,"Франция ,   Бразилия ,   Португалия",2018
"Чёрная полоса (фильм, 2018)",фильм-триллер,Эрик Зонка,Франция,18 июля   2018
"Усыновление (фильм, 2018)",драма,Жанна Эрри,Франция  Бельгия,2018
"Человек, который убил Дон Кихота","трагикомедия ,  притча ,  магический реализм",Терри Гиллиам,Испания     Великобритания     Франция     Португалия     Бельгия,2018
Честный человек,драматический фильм,Луи Гаррель,Франция,9 сентября   2018  и  30 мая   2019
Три дня в Киброне (фильм),драматический фильм   и  биографический фильм,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} Эмили Атеф",Германия   Австрия   Франция,"19 февраля   2018  ,  12 апреля   2018  ,  13 апреля   2018   и  2018"
Такси 5,комедийный боевик,Франк Гастамбид,Франция,2018
Страна призраков (фильм),ужасы,Паскаль Ложье,Франция  Канада,2018
Тень закона,триллер,Дэни де ла Торре,Испания  Франция,2018
По воле божьей,драма,Франсуа Озон,Франция  Бельгия,2018
Революция на Капри,драматический фильм,Марио Мартоне,Италия  Франция,2018
"Прости, ангел","комедийная драма ,  драматический фильм  и  .mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} ЛГБТ-фильм",Кристоф Оноре,Франция,2018
Папа Франциск. Человек слова,документальный фильм,Вим Вендерс,Германия  Франция  Италия  Швейцария  Ватикан,2018
Перелётные птицы (фильм),криминальная   драма,Кристина Гальего Сиро Гуэрра,Колумбия  Дания  Мексика  Германия  Швейцария  Франция,2018
Назови меня своим именем (фильм),романтическая драма история взросления,Лука Гуаданьино,Италия  США  Франция  Бразилия,2017
Париж. Город Zомби,фильм ужасов драма,Доминик Роше,Франция,2018
Нуреев. Белый ворон,биографический фильм  и  драматический фильм,Рэйф Файнс,Великобритания  Франция  Сербия,2018
От семьи не убежишь,комедия,Дани Бун,Франция,2018
Один король — одна Франция,исторический фильм  и  драматический фильм,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} Пьер Шоллер",Франция,"26 сентября   2018 ,  4 апреля   2019 ,  22 ноября   2018   и  7 марта   2019"
Новая жизнь Аманды,драма,Микаэль Эрс,Франция,2018
Не прикасайся,драма,Адина Пинтилие,Румыния  Германия  Чехия   Болгария  Франция,2018
"Транзит (фильм, 2018)",экранизация литературного произведения   и  драматический фильм,Кристиан Петцольд,Германия  Франция,"5 апреля   2018 ,  3 августа   2019 ,  1 марта   2019  и  11 октября   2018"
Невозможная любовь,романтический фильм  и  драматический фильм,Катерин Корсини,Франция,2017
Непотопляемые (фильм),комедия,Жиль Леллуш,Франция,2018
Мой Кет,комедийный фильм  и  драматический фильм,Франсуа Дамьен,Франция   Бельгия,30 мая   2018
"Наследницы (фильм, 2018)",драма,Марсело Мартинесси,Парагвай  Франция  Германия  Норвегия  Бразилия  Уругвай,2018
Наши сражения,комедийная драма,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} Гийом Сенез",Франция  Бельгия,2018  и  21 марта   2019
Тель-Авив в огне,"комедия, мелодрама",Самех Зоаби,"Израиль ,    Франция ,     Люксембург",2018
Молитва (фильм),драматический фильм,Седрик Кан,Франция,21 марта   2018
Тайна Анри Пика,комедия,Реми Безансон,Франция,2019
"Уголь (фильм, 2019)",драма,Исмаил Мунсиф,Франция,2019
Ты умрёшь в 20,драматический фильм,Амджад Абу Алала,Судан   Франция   Германия   Египет   Норвегия   Катар,12 февраля   2020  и  2019
"Прекрасная эпоха (фильм, 2019)",комедия драма,Николя Бедос,Франция  Бельгия,2019
Расправь крылья,приключения драма,Николя Ванье,Франция  Норвегия,2019
Снегоуборщик (фильм),"чёрная комедия ,  триллер ,  боевик",Ханс Петтер Муланд,Великобритания  США  Франция  Китай   Норвегия  Канада,2019
Проксима (фильм),драма,Алис Винокур,Франция  Германия,2019
Синонимы (фильм),драма,Надав Лапид,Германия  Израиль  Франция,2019
Портрет девушки в огне,драма мелодрама,Селин Сьямма,Франция,2019
"Фрэнки (фильм, 2019)",драма,Айра Сакс,США  Франция,2019
"Поменяться местами (фильм, 2019)",кинокомедия,Юго Желен,Франция,2019
"Правда (фильм, 2019)",драма,Хирокадзу Корээда,Франция  Япония,2019
"До свидания там, наверху (фильм)",драматический фильм,Альбер Дюпонтель,Франция,2017
"Предатель (фильм, 2019)",биографическая   драма,Марко Беллоккьо,Италия  Франция  Бразилия  Германия,2019
Горькие цветы (фильм),драматический фильм,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} Оливье Мейс",Франция,2017
"Пиноккио (фильм, 2019)",фэнтези     приключения,Маттео Гарроне,Италия      Франция      Великобритания,2019
"Джанго (фильм, 2017)","биографический ,  военный",Этьен Комар,Франция,2017
Дозор джунглей,приключенческий фильм  компьютерная,Дэвид Ало,Франция,7 сентября 2017
"Дикарь (фильм, 2017)","драма ,  мелодрама ,  биография",Эдуард Делюк,Франция,2017
"Вилла (фильм, 2017)",драма,Робер Гедигян,Франция,2017
Двуличный любовник,эротический   триллер,Франсуа Озон,Франция,2017
Возьми меня штурмом,комедийный фильм   и  боевик,Дани Бун,Франция,2017
"Вечно молодой (фильм, 2017)",комедия,Гийом Кане,Франция,2017
"Бои без правил (фильм, 2017)",криминал триллер драма биография спорт,Жан-Стефан Совер,США  Великобритания  Франция  Германия  Китай  Камбоджа,2017
"Дюнкерк (фильм, 2017)","военная   драма ,  боевик",Кристофер Нолан Полнометражные  Преследование  (1998)  Помни  (2000)  Бессонница  (2002)  Бэтмен: Начало  (2005) саундтрек   Престиж  (2006)  Тёмный рыцарь  (2008) саундтрек   награды и номинации  Начало  (2010) саундтрек   награды и номинации   Тёмный рыцарь: Возрождение легенды  (2012) саундтрек   награды и номинации   Интерстеллар  (2014) саундтрек   награды и номинации  Дюнкерк  (2017) саундтрек   награды и номинации   Довод  (2020) саундтрек   награды и номинации   Оппенгеймер  (2023) саундтрек  награды и номинации  Одиссея  (2026)  Короткометражные  Тарантелла  (1989)  Воровство  (1996)  Жук-скакун  (1997)  Куэй  (2015),Великобритания  США  Франция  Нидерланды,2017
В Сирии,драматический фильм,Филипп Ван Леу,Бельгия  Франция,"11 февраля   2017 ,  22 июня   2017  и  23 ноября   2017"
Валериан и город тысячи планет,фантастика боевик приключения,Люк Бессон,Франция,2017
Афера доктора Нока,трагикомедия,Лоррэйн Леви,Франция,2017
Блестяще (фильм),комедийный фильм,Иван Атталь,Франция  Бельгия,2017  и  14 июня   2018
Безумные соседи,комедия,Филипп де Шоврон,Франция  Бельгия,2017
"Ана, любовь моя",драматический фильм,Калин Питер Нецер,Румыния  Германия  Франция,17 февраля   2017  и  24 августа   2017
"Боль (фильм, 2017)",историко - биографическая   военная   драма,Эмманюэль Финкель,Франция  Бельгия,2017
120 ударов в минуту,"драматический фильм  и  .mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} ЛГБТ-фильм",Робен Кампийо,Франция,2017
"Атлантида (фильм, 2017)",научно-фантастический   фильм ужасов,Ксавье Жанс,Франция  Испания,2017
Ава (фильм),драма,Леа Мисиус,Франция,2017
Лабиринты прошлого,драма психологический  триллер,Асгар Фархади,Испания  Франция  Италия  Аргентина  Германия,2018
"Моего брата зовут Роберт, и он идиот (фильм)",драматический фильм,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} Филип Грёнинг",Германия  Франция,22 ноября   2018
"Барбара (фильм, 2017)",драма,Матьё Амальрик,Франция,2017
Мне по кайфу!,комедия,Бенуа Делепин   Гюстав Керверн,Франция,2018
Мадемуазель де Жонкьер,мелодрама,Эмманюэль Муре,Франция,2018
Клуб любителей книг и пирогов из картофельных очистков,"драматический фильм ,  романтический фильм ,  исторический фильм  и  .mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} экранизация романа",Майк Ньюэлл,Великобритания  Франция,2018
"Закат (фильм, 2018)",драма,Ласло Немеш,Венгрия  Франция,2018 год
Курск (фильм),"триллер ,  драма",Томас Винтерберг,Франция  Бельгия  Люксембург,2018
"Дикий (фильм, 2018, Франция)","драма ,  ЛГБТ-тематика в кино",Камиль Видаль-Наке,Франция,2018
Лоро (фильм),фильм-антология,Паоло Соррентино,Италия  Франция,2018
Дыши во мгле,Научная фантастика     Триллер     Фильм-катастрофа,Дэниэл Роби,Франция      Канада,2018
"Ева (фильм, 2018)","драма ,  триллер",Бенуа Жако,Франция  Бельгия,2018
Догмэн,драматический фильм   и  криминальный фильм,Маттео Гарроне,Италия  Франция,2018
Женщина на войне,чёрная комедия   и  фильм-триллер,Бенедикт Эрлингссон,Франция  Исландия  Украина,2018
Дикая груша (фильм),драма,Нури Бильге Джейлан,Турция  Болгария  Франция  Германия  Швеция,2018
Девушки солнца,"драма ,  военный",Эва Юссон,Франция,2018
"Дом, который построил Джек (фильм, 2018)",психологический триллер,Ларс фон Триер,Дания  Швеция  Франция  Германия,2018
"Переводчики (фильм, 2019)","триллер ,  детектив",Режис Руансар,Франция  Бельгия,2019
"Бугимен (фильм, 2018)","ужасы ,  фильм ужасов  и  фэнтезийный фильм",".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} Талал Сельхами",Франция  Марокко,2018
Белль и Себастьян: Друзья навек,приключенческий фильм  и  семейный фильм,Кловис Корнийяк,Франция,"21 октября   2017 ,  14 февраля   2018 ,  7 февраля   2018  и  26 апреля   2018"
Братья Систерс,вестерн,Жак Одиар,США  Франция,2018
Видок: Охотник на призраков,Исторический фильм     Криминал,Жан-Франсуа Рише,Франция,2018
