Название,Жанр,Продюссер,Страна,Год
Сохраняй спокойствие,чёрная комедия,Чжан Имоу,Китай  Гонконг,1997
"Кто я? (фильм, 1998)",боевик комедия,Бенни Чан Джеки Чан  Бесстрашная гиена  (1979)  Молодой мастер  (1980)  Лорд дракон  (1982)  Проект А  (1983)  Полицейская история  (1985)  Доспехи Бога  (1986)  Проект А: Часть 2  (1987)  Полицейская история 2  (1988)  Чудеса  (1989)  Доспехи Бога 2: Операция Кондор  (1991)  Криминальная история  (1993)  Пьяный мастер 2  (1994)  Кто я?  (1998)  Падение последней империи  (2011)  Доспехи Бога 3: Миссия Зодиак  (2012),Гонконг  Япония  США,1998
Император и убийца,историческая  драма,Чэнь Кайгэ,"Китай ,  Япония ,  Франция",1998
Счастье на час,драма комедия,Чжан Имоу,Китай,2000
"Платформа (фильм, 2000)",драма,Цзя Чжанкэ,КНР,2000
Любовное настроение,мелодрама драма,Вонг Карвай,Гонконг  Китай,2000
Рыбка и слон,мелодрама,Ли Юй,Китай,2001
"Дорога домой (фильм, 1999)",драма  /  мелодрама,Чжан Имоу,Китай,1999
На десять минут старше,,Чэнь Кайгэ   Виктор Эрисе   Вернер Херцог   Джим Джармуш   Аки Каурисмяки   Спайк Ли   Вим Вендерс   Бернардо Бертолуччи   Клер Дени   Майкл Фиггис   Жан-Люк Годар   Иржи Менцель   Майкл Редфорд   Фолькер Шлёндорф   Иштван Сабо,Китай    Финляндия    Франция    Германия    Нидерланды    Испания    Великобритания    США,2002
"Великолепный (фильм, 1999)",боевик комедия   мелодрама,Винсент го Дэчжао  Бесстрашная гиена  (1979)  Молодой мастер  (1980)  Лорд дракон  (1982)  Проект А  (1983)  Полицейская история  (1985)  Доспехи Бога  (1986)  Проект А: Часть 2  (1987)  Полицейская история 2  (1988)  Чудеса  (1989)  Доспехи Бога 2: Операция Кондор  (1991)  Криминальная история  (1993)  Пьяный мастер 2  (1994)  Кто я?  (1998)  Падение последней империи  (2011)  Доспехи Бога 3: Миссия Зодиак  (2012),Китайская Республика  Гонконг,1999
