film_title,genre,director,country,year
"День, когда Земля остановилась (фильм, 2008)",фантастика триллер драма,Скотт Дерриксон Love in the Ruins Восставший из ада  Инферно Шесть демонов Эмили Роуз День когда Земля остановилась Синистер Избави нас от лукавого Доктор Стрэндж награды и номинации Чёрный телефон Ущелье Чёрный телефон  Мастер тайцзи,США Канада,2008
"Железный человек (фильм, 2008)",супергероика боевик научная фантастика приключения,Джон Фавро Всё схвачено Эльф Затура Космическое приключение Железный человек Железный человек  Ковбои против пришельцев Повар на колёсах Книга джунглей Король Лев Мандалорец и Грогу Книга джунглей  TBA,США,2008
"Человек-оркестр (фильм, 1900)",комедия,Жорж Мельес,Франция,1900
Самый невозможный способ лечь спать,фантастика комедия,Жорж Мельес,Франция,1900
Разбор руин в Галвестоне в поисках мёртвых тел,документальный фильм,Джеймс Стюарт Блэктон,США,1900
Что видно в телескоп,комедия,Джордж Альберт Смит,Великобритания,1900
"Кадиш (фильм, 2019)",Драма Исторический Военный,Константин Фам,Россия Беларусь Израиль,2019
Позволь мне снова помечтать,комедия,Джордж Альберт Смит,Великобритания,1900
Современный спиритуализм,немое кино,Жорж Мельес,Франция,1900
Озадаченный Шерлок Холмс,детективный фильм комедия мистика,Артур Марвин,США,1900
Очарованный рисунок,мультипликационный фильм комедия,Джеймс Стюарт Блэктон,США,1900
"Фауст и Маргарита (фильм, 1900)",фэнтези,Эдвин Стэнтон Портер,США,1900
Бабушкина лупа,короткометражка,Джордж Альберт Смит,Великобритания,1900
Нападение на миссию в Китае,драма,Джеймс Уильямсон,Великобритания,1900
Казнь китайского заключённого,драма,,США,1900
"Жанна д’Арк (фильм, 1900)",драма исторический фильм,Жорж Мельес,Франция,1900
"Дом, который построил Джек (фильм, 1900)",Короткометражный фильм,Джордж Альберт Смит,Великобритания,1900
"Мадам Сан-Жен (фильм, 1900)",драма,Клемент Морис,Франция,1900
Ясный сокол,,Ирина Кодюкова,Беларусь,
"Выше неба (фильм, 2012)",драма,Дмитрий Маринин,Беларусь,2012
Рыжик в зазеркалье,фэнтези,Елена Турова,Беларусь,2011
"Туфельки (фильм, 2012)",Драма Исторический,Константин Фам,Россия Беларусь Польша Чехия Франция США,2012
"Про дружбу, Шарика и летающую тарелку",,Александр Ленкин,Беларусь,
Следы апостолов,приключения,Сергей Талыбов,Беларусь,2013
В тумане (фильм),военный драма,Сергей Лозница,Россия Беларусь Латвия Германия Нидерланды,2012
Яблоко Луны,мелодрама,Алексей Турович,Беларусь,2009
Снайпер: Оружие возмездия,драма военный фильм,Александр Ефремов,Беларусь Россия,2009
Оккупация. Мистерии,Военная драма,Андрей Кудиненко,Беларусь Нидерланды,2004
Птаха (мультфильм),,Александр Ленкин,Беларусь,
Как служил же я у пана,,Владимир Петкевич,Беларусь,
Вам — задание,военный фильм драма,Юрий Бержицкий,Беларусь,2004
Дунечка,драма,Александр Ефремов,Россия Беларусь,2005
Сестра и брат,,Ирина Валентиновна Кодюкова,Беларусь,
Леди на день,комедия,Дмитрий Астрахан,Россия Беларусь,2002
Три женщины и мужчина,комедия,Виталий Дудин,Беларусь,1998
Песенка для канарейки,,Елена Петкевич,Беларусь,
"Перекрёсток (фильм, 1998)",мелодрама комедия рок русский шансон,Дмитрий Астрахан,Россия,1998
"Прикованный (фильм, 2002)",драма,Валерий Рыбарев,Россия Беларусь,2002
Возвращение «Броненосца» (фильм),комедия приключенческий фильм,Геннадий Полока,Россия Беларусь,1996
Из ада в ад,драма,Дмитрий Астрахан,Россия Беларусь Германия,1996
Пастораль (мультфильм),,Игорь Волчек,Беларусь,
Бег от смерти,боевик драма криминал,Виктор Дерюгин,Беларусь,1996
Чего на свете не бывает,,Александр Ленкин,Беларусь,
Ботанический сад (фильм),драма,Владимир Гостюхин,Беларусь,1997
Дела Лоховского,кинокомедия,Борис Берзнер,Беларусь,1997
Контракт со смертью,драма криминальный триллер,Дмитрий Астрахан,Россия Беларусь,1998
Любить по-русски 3: Губернатор,остросюжетный социальная киноповесть,Евгений Матвеев,Россия Беларусь,1999
"Зимовье зверей (мультфильм, 1999)",сказка,Александр Ленкин,Беларусь,
В августе 44-го…,Военный боевик детектив драма,Михаил Пташук,Беларусь Россия,2000 белорусская версия 2001 российская версия
"Яма, танцы, четыре струны",комедия,Александр Ленкин,Беларусь,
Алхимики (фильм),комедия фантастика,Дмитрий Астрахан,Россия Болгария Беларусь,2000
Ещё о войне,военный фильм драма мелодрама экранизация,Пётр Кривостаненко,Беларусь,2004
"Поводырь (фильм, 2001)",комедия,Александр Ефремов,Беларусь,2001
Киднеппинг (фильм),драма криминальный фильм,Ольга Перуновская,Россия Беларусь,2003
Эскиз на мониторе,драма,Руслан Зголич,Беларусь Белорусская ССР,2001
"Родина или смерть (фильм, 2007)",военный фильм драма боевик,Алла Криницына,Россия Беларусь,2007
Приключения реактивного поросёнка. Приключение пятое. Как сделать открытие,,Александр Ленкин  Андрей Агальцов,Беларусь,
Бальное платье,Романтическая мелодрама,Маргарита Касымова Ирина Волох,Беларусь,2003
Чаклун и Румба,военная киноповесть,Андрей Голубев,Беларусь,2007
"Враги (фильм, 2007)",военный фильм драма,Мария Можар,Россия Белоруссия,2007
"Волки (фильм, 2009)",драматический фильм,Александр Колбышев,Белоруссия,2009
Кадет (фильм),драма,Виталий Дудин,Беларусь,2009
Днепровский рубеж,Военная драма,Денис Скворцов,Беларусь,2009
Захват дивизиона буров британцами,немое кино документальный фильм короткометражный фильм и военный фильм,Джеймс Уайт вд,США,1900
На спине у чёрного кота,комедия  семейный,Иван Павлов,Беларусь,2008
В поисках идиша,Документальное кино,Юрий Хащеватский Александр Городницкий,Россия Беларусь Германия,2008
"В июне 41-го (телесериал, 2008)",драма военный фильм,Александр ФранскевичЛайе,Беларусь Россия,
Анастасия Слуцкая (фильм),Историческая драма,Юрий Елхов,Беларусь,2003
Нестерка 7. Как Нестерка небылицы рассказывал,,Игорь Волчек,Беларусь,
Будем белорусами! (мультфильм),,Юлия Рудницкая,Беларусь,
"На перепутье (фильм, 2011)",мелодрама комедия,Виталий Дудин,Беларусь,2011
