film_title,year
Бронко Билли,1980 и 6 ноября 1980 1
Пятый элемент (фильм),1997
Братья Блюз (фильм),1980
Маленькие личики,1996 и 1 августа 1996 1
Максимальный риск,1996
Большая-малая война,1980
Майкл Джексон: Призраки,1996
Большая среда,26 мая 1978 1 23 июня 1978 1 3 октября 1978 1 12 октября 1978 1 16 ноября 1978 1 24 ноября 1978 1 21 апреля 1979 1 14 мая 1979 1 17 мая 1979 1 29 июня 1979 1 11 июля 1979 1 24 августа 1979 1 1 апреля 1980 1 и 7 августа 1980 1
Майкл Коллинз (фильм),1996
Бродячие ангелы,1980
Любовь преступника,1996
"Майкл (фильм, 1996)",1996
"Любовники Розмари (фильм, 1996)",1996
Любить по-русски 2,1996
Ловец солнца,1996
Любовь и секс и т. д.,1996
Лилии (фильм),1996
Луна пустыни,1996
"Люблю тебя, не люблю тебя",1996
"Ложный огонь (фильм, 1996)",1996
Летняя сказка,1996
"Лидер (фильм, 1996)",1996
Лунная шкатулка,1996
"Линия жизни (фильм, 1996)",1996
Лейла (фильм),1996
Летите домой,1996
Кукольный дом Амитивилля,1996
Кровь и вино,1996
Кровавый спорт 2,1996
Красота (фильм),1996
Мертвец в колледже,1998
Летнее платье (фильм),1996
Меркурий в опасности,1998
Меня зовут Джо,1998
"Крокодил (фильм, 1996)",1996
"Межсезонье (фильм, 1998)",1998
Мафия!,1998
Лесной царь (фильм),1996
Лесной воин,1996
Маска призрака,1998
Маска Зорро,1998
"Крик (фильм, 1996)",1996
Маленький Тони,1998
Любовь и попса,1998
"Любовь с первого взгляда (фильм, 1998)",1998
Любовь — это дьявол. Штрихи к портрету Ф. Бэкона,1998
"Мачеха (фильм, 1998)",1998
Любовный треугольник (фильм),1998
Маленький лекарь,1998
"Любовное письмо (фильм, 1998)",1998
Любовники полярного круга,1998
"Любимая (фильм, 1998)",1998
Лучший из лучших 4: Без предупреждения,1998
Луиза (дубль 2),1998
"Ливень (фильм, 1998)",1998
Лос-Анджелес без карты,1998
"Леший (фильм, 1998)",1998 и 21 мая 1998 1
Легионер (фильм),1998
Легенда о пианисте,1998
"Лебединое озеро (фильм, 1998)",1998
Курт и Кортни,1998
Кузина Бетта (фильм),1998
"Ловушка для родителей (фильм, 1998)",1998
Благочестивая Марта (фильм),1980
Бешеный бык,1980
Божественное безумие,1980
Белый снег России,1980
"Бивень (фильм, 1980)",1980
Бесстрашные драконы,1980
Битва за пределами звёзд,1980
"Безумная любовь (фильм, 1935)",1980
Берём всё на себя,1980
Белый бизон (фильм),30 марта 1977 1 6 мая 1977 1 12 мая 1977 1 8 августа 1977 1 24 августа 1977 1 29 сентября 1977 1 25 октября 1977 1 16 ноября 1977 1 15 декабря 1977 1 12 января 1978 1 10 марта 1978 1 28 апреля 1978 1 5 мая 1978 1 24 июня 1978 1 2 февраля 1979 1 27 марта 1979 1 октябрь 1979 1 и 13 мая 1980 1
Белая богиня каннибалов,1980 и 28 ноября 1980 1
Луиз: истинная история рок-н-ролла,1996
Аэроплан!,1980
Атланты и кариатиды (фильм),1980
"Атлантик-Сити (фильм, 1980)",1980
Белый ворон,1980
Бак Роджерс в XXV веке (фильм),30 марта 1979 1 12 июля 1979 1 25 июля 1979 1 26 июля 1979 1 26 июля 1979 1 30 июля 1979 1 31 августа 1979 1 13 сентября 1979 1 12 октября 1979 1 17 декабря 1979 1 и 21 января 1980 1
Ангар 18,1980
Апокалипсис каннибалов,1980 и 14 ноября 1980 4
Балтиморская пуля,1980
Красивые деревни красиво горят,1996
Банкир-неудачник,1980
Антропофаг (фильм),1980
Банкирша (фильм),1980
Котёнок (фильм),1996
Апрельские сны,1980
Коля (фильм),1996
Король приключений,1996
Космический джем,1996
"Кольцо (фильм, 1996)",1996
Комната Марвина,1996
Когда опускается ночь,1996
"Крайние меры (фильм, 1996)",1996
Красивые девушки,1996
Космические дальнобойщики,1996
Колдовство 8: Призрак Салема,1996
Компаньон (фильм),1996
Клуб первых жён,1996
Квартирка Джо,1996
"Колдовство (фильм, 1996)",1996
Ко всем чертям!,1996
Каннибал! Мюзикл,1996
Кама Сутра: История любви,1996
Как я обсуждал... (мою сексуальную жизнь),1996
Капитан Конан,1996
Клетка для пташек,1996
Канзас-Сити (фильм),1996
"Кавказский пленник (фильм, 1996)",1996
"Квартира (фильм, 1996)",1996
Кабельщик,1996
Любовное настроение,2000
Лучший подарок на Рождество,1 декабря 2000
"Лучший друг (фильм, 2000)",2000
Луной был полон сад,2000
"Камера (фильм, 1996)",1996
Карьера Артуро Уи. Новая версия,1996
Лумумба (фильм),2000
Лепрекон 5: Сосед,2000
Как удержаться на плаву,1996
Лающие собаки никогда не кусают,2000 и 19 февраля 2000 1
Лондонские псы,2000
Ландыш серебристый,2000
