title,genre
Остров везения,"комедия,приключения"
"Однажды (фильм, 2013)","мелодрама,комедия"
Похабовск. Обратная сторона Сибири,комедия
"Последняя охота (фильм, 2013)","Триллер,Драма"
Околофутбола,драма
Показательный процесс: История Pussy Riot,"документальный фильм,драма"
"Сталинград (фильм, 2013)",военная драма
О чём молчат девушки,комедия
Любовь за любовь (фильм),
"Метро (фильм, 2013)","драма,триллер,фильм-катастрофа"
Майор (фильм),"криминальная,драма,триллер"
"Лёд (фильм, 2013)","драма,спорт"
Одноклассники.ru: НаCLICKай удачу,"комедия,мелодрама"
Легенда № 17,"спортивная,драма,фильм-биография"
Космонавт (фильм),"научная фантастика,драма"
Lego Бэтмен: Супергерои DC объединяются,
Эпик (мультфильм),"приключения,комедия,фэнтези,экшн,триллер,семейный,Музыка к фильму"
Укуренные: Недетский мульт,комедия
Линар (фильм),"документальная,драма"
Холодное сердце,"семейный,фэнтезийная комедия,мюзикл,приключения,Поп,Мюзикл"
Турбо (мультфильм),"приключения,комедия"
Университет монстров,"чёрная комедия,триллер,драма,ужасы"
Супермен: Непобеждённый,
Смурфики 2,"мультфильм,семейный,комедия,фэнтези,саундтрек"
Страстный Мадагаскар,комедия
Синий зонтик,"мультфильм,семейный фильм,фэнтезийный фильм,романтический фильм"
Скуби-Ду! Боязнь сцены,приключения
Семейка Крудс,"приключенченская,комедия"
Побег с планеты Земля,
Самолёты (мультфильм),спортивная комедия
Облачно... 2: Месть ГМО,"семейный,комедия,фантастика"
Лига Справедливости: Парадокс источника конфликта,"Фантастика,боевик,триллер,криминал,музыка к фильму"
Центр вечеринки,Комедия
Индюки: Назад в будущее,"мультфильм,научная фантастика,комедия"
Лига Справедливости: Война,"Фантастика,боевик,триллер,криминал,музыка к фильму"
Железный человек и Халк: Союз героев,супергеройский фильм
Гадкий я 2,"комедия,романтика"
Бэтмен: Возвращение Тёмного рыцаря,"боевик,приключения,фантастика,музыка к фильму"
"Иуда (фильм, 2013)",драма
Мальчик и его атом,
Барби и сёстры в Сказке о пони,"Семейный,Фэнтези,Мультипликация"
Интимные места,"эротика,драма"
Дороти из страны Оз (мультфильм),"музыкальный фильм,фэнтезийный фильм,экранизация литературного произведения"
"Квадрат (фильм, 2013)","документальный,роуд-муви,мюзикл"
Игра в правду,"комедия,драма"
Зимний путь (фильм),драма
И мы любим жизнь,драма
Иван сын Амира,"драматический фильм,1"
Ёлки 3,"комедия,семейный"
"Дублёр (фильм, 2013)",комедия
Друзья друзей,кинокомедия
"Зеркала (фильм, 2013)",драма
Конь-огонь (мультфильм),"комедия,мюзикл"
"Долгая счастливая жизнь (фильм, 2013)",драма
Девочки из Эквестрии,
Деточки,драма
"Жажда (фильм, 2013)",
"Горько! (фильм, 2013)","кинокомедия,псевдодокументальное кино"
Гагарин. Первый в космосе,"драма,биография,история"
Географ глобус пропил (фильм),драма
Дольше жизни,
Война Принцессы,"драма,1"
Альфа и Омега 2: Приключения праздничного воя,"комедия,приключения,семейный фильм"
Восьмёрка (фильм),драма
"Василиса (фильм, 2013)","исторический фильм,военный фильм,драма"
Гена Бетон,комедийный фильм
Билет на Vegas,"комедия,приключения"
Белый лебедь (фильм),"боевик,триллер"
"12 месяцев (фильм, 2013)","романтическая,фэнтезийная комедия"
Всё включено 2,Комедия
"Блеф, или С Новым годом!",документальный
7 главных желаний,"комедия,мелодрама"
Тени незабытых предков,"триллер,мистика,комедия"
Саратовский подход,"триллер,драма"
Такие красивые люди,философская драма
"Моя Русалка, Моя Лореляй",
Параджанов (фильм),биография
Любовь в большом городе 3,"романтическая комедия,фэнтези"
Излечить страх,"исторический,драма"
Эпизод из жизни сборщика железа,"драматический фильм,3,документальная фантастика"
Ломбард (фильм),"детективно,приключенческая,комедия"
Тур де Шанс,комедия
Филомена,"драматическое,роуд-муви"
"Тайное влечение (фильм, 2013)",драматический фильм
Только Бог простит,"триллер,криминальный фильм,16,17,[…],драматический фильм,18,19,[…],неонуар,боевик,фильм-триллер,20"
Судная ночь,"фильм ужасов,3,4,[…],научно-фантастический фильм,4,5,фильм-триллер,антиутопический фильм"
"Ревность (фильм, 2013)",драма
Иван Сила,"биография,приключения"
Притворись моим парнем,комедия
"Пена дней (фильм, 2013)","комедия,драма,фэнтези,мелодрама"
Полярный рейс,комедия
Парижский отсчёт,Триллер
Ку! Кин-дза-дза,"фантастика,антиутопия,трагикомедия"
"Паранойя (фильм, 2013)",триллер
Белка и Стрелка. Лунные приключения,"мультфильм,исторический,комедия,приключения,фантастика"
"Одиночка (фильм, 2013)",драма
"Прошлое (фильм, 2013)",драма
Три мелодии,"философская,притча"
Нимфоманка (фильм),"драма,драма"
Привередливая мышка,
"Монахиня (фильм, 2013)",драма
Мёбиус (фильм Эрика Рошана),"драма,триллер"
Молода и прекрасна,"мелодрама,Музыка к фильму"
Неправильные копы,"Кинокомедия,Криминал"
Набережная Орсе (фильм),
"Мальчики, Гийом, к столу!","комедийный фильм,3,4,ЛГБТ-фильм"
Незнакомец у озера,драма
Малавита (фильм),чёрная комедия
Кот Гром и заколдованный дом,комедия
Восьмой шар,"драма,криминал"
Конгресс (фильм),"фантастика,анимация"
Кидон (фильм),комедийный фильм
Китайская головоломка,
